SourceRow;WorkerID;RawPrefix;PrefixASCII;TailN;OriginalFilename;CalculatedFilename;Result;OriginalLen;CalculatedLen;FirstDiffPos;OriginalAtDiff;CalculatedAtDiff;Block1;Block2;Tail
338;1750000101;14;70;3;130I0O0M0H0H0H0H0I0H0I342J2P2N2I2J2I2J2K2I2J0--0I0O0M1H0I0I0H651L;130I0O0M0H0H0H0H0I0H0I342J2P2N2I2J2I2J2K2I2J0--0I0O0M1H0I0I0H651L;OK;65;65;;;;130I0O0M0H0H0H0H0I0H0I;342J2P2N2I2J2I2J2K2I2J;0I0O0M1H0I0I0H651L
339;1EB5H00101;70;70;5;130I120Z0M150H0H0I0H0I342J33302N362I2J2K2I2J0--0I120Z0M151F0I0I0H631H0;130I120Z0M150H0H0I0H0I342J33302N362I2J2K2I2J0--0I120Z0M151F0I0I0H631H0;OK;70;70;;;;130I120Z0M150H0H0I0H0I;342J33302N362I2J2K2I2J;0I120Z0M151F0I0I0H631H0
340;2470000101;14;70;3;130J0L0O0H0H0H0H0I0H0I342K2M2P2I2J2I2J2K2I2J0--0J0L0O1H0I0I0H651L;130J0L0O0H0H0H0H0I0H0I342K2M2P2I2J2I2J2K2I2J0--0J0L0O1H0I0I0H651L;OK;65;65;;;;130J0L0O0H0H0H0H0I0H0I;342K2M2P2I2J2I2J2K2I2J;0J0L0O1H0I0I0H651L
341;2560000101;14;70;3;130J0M0N0H0H0H0H0I0H0I342K2N2O2I2J2I2J2K2I2J0--0J0M0N1H0I0I0H651L;130J0M0N0H0H0H0H0I0H0I342K2N2O2I2J2I2J2K2I2J0--0J0M0N1H0I0I0H651L;OK;65;65;;;;130J0M0N0H0H0H0H0I0H0I;342K2N2O2I2J2I2J2K2I2J;0J0M0N1H0I0I0H651L
342;4900000101;14;70;2;130L0Q0H0H0H0H0H0I0H0I342M2R2I2J2I2J2I2J2I2J0--0L0Q040I0I0H66090;130L0Q0H0H0H0H0H0I0H0I342M2R2I2J2I2J2I2J2I2J0--0L0Q040I0I0H66090;OK;64;64;;;;130L0Q0H0H0H0H0H0I0H0I;342M2R2I2J2I2J2I2J2I2J;0L0Q040I0I0H66090
343;6700000101;14;70;2;130N0O0H0H0H0H0H0I0H0I342O2P2I2J2I2J2I2J2I2J0--0N0O040I0I0H66090;130N0O0H0H0H0H0H0I0H0I342O2P2I2J2I2J2I2J2I2J0--0N0O040I0I0H66090;OK;64;64;;;;130N0O0H0H0H0H0H0I0H0I;342O2P2I2J2I2J2I2J2I2J;0N0O040I0I0H66090
344;8410000101;14;70;3;130P0L0I0H0H0H0H0I0H0I342Q2M2J2I2J2I2J2K2I2J0--0P0L0I1H0I0I0H651L;130P0L0I0H0H0H0H0I0H0I342Q2M2J2I2J2I2J2K2I2J0--0P0L0I1H0I0I0H651L;OK;65;65;;;;130P0L0I0H0H0H0H0I0H0I;342Q2M2J2I2J2I2J2K2I2J;0P0L0I1H0I0I0H651L
345;1490000101;15;71;3;140I0L0Q0H0H0H0H0I0H0I362K2N2S2J2K2J2K2L2J2K0--0I0L0Q1I0I0H0I651M;140I0L0Q0H0H0H0H0I0H0I362K2N2S2J2K2J2K2L2J2K0--0I0L0Q1I0I0H0I651M;OK;65;65;;;;140I0L0Q0H0H0H0H0I0H0I;362K2N2S2J2K2J2K2L2J2K;0I0L0Q1I0I0H0I651M
346;1580000101;15;71;3;140I0M0P0H0H0H0H0I0H0I362K2O2R2J2K2J2K2L2J2K0--0I0M0P1I0I0H0I651M;140I0M0P0H0H0H0H0I0H0I362K2O2R2J2K2J2K2L2J2K0--0I0M0P1I0I0H0I651M;OK;65;65;;;;140I0M0P0H0H0H0H0I0H0I;362K2O2R2J2K2J2K2L2J2K;0I0M0P1I0I0H0I651M
347;1670000101;15;71;3;140I0N0O0H0H0H0H0I0H0I362K2P2Q2J2K2J2K2L2J2K0--0I0N0O1I0I0H0I651M;140I0N0O0H0H0H0H0I0H0I362K2P2Q2J2K2J2K2L2J2K0--0I0N0O1I0I0H0I651M;OK;65;65;;;;140I0N0O0H0H0H0H0I0H0I;362K2P2Q2J2K2J2K2L2J2K;0I0N0O1I0I0H0I651M
