SourceRow;Filename;WorkerID;Prefix_ASC;TailRaw;TailLen;PairCount;TrailingChar;FirstZeroPos;SignificantLen;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;T01_RAW;T02_RAW;T03_RAW;T04_RAW;T05_RAW;T06_RAW;T07_RAW;T08_RAW;T09_RAW;T10_RAW;T11_RAW;T01_NUM;T02_NUM;T03_NUM;T04_NUM;T05_NUM;T06_NUM;T07_NUM;T08_NUM;T09_NUM;T10_NUM;T11_NUM;T01_PLUS31;T02_PLUS31;T03_PLUS31;T04_PLUS31;T05_PLUS31;T06_PLUS31;T07_PLUS31;T08_PLUS31;T09_PLUS31;T10_PLUS31;T11_PLUS31;T01_MATCH_W;T02_MATCH_W;T03_MATCH_W;T04_MATCH_W;T05_MATCH_W;T06_MATCH_W;T07_MATCH_W;T08_MATCH_W;T09_MATCH_W;T10_MATCH_W;T11_MATCH_W;;;SOUHRN;
22;0116181718170H0H0I0H0I1025272627261G1H1I1G1H0--16181718170D0I0I0H630F0;IKJKJ00101;32;16181718170D0I0I0H630F0;23;11;0;6;5;I;K;J;K;J;0;0;1;0;1;73;75;74;75;74;48;48;49;48;49;42;44;43;44;43;17;17;18;17;18;16;18;17;18;17;0D;0I;0I;0H;63;0F;42;44;43;44;43;13;18;18;17;219;15;73;75;74;75;74;44;49;49;48;250;46;W01;W02,W04;W03,W05;W02,W04;W03,W05;;W08,W10;W08,W10;W06,W07,W09;;;;;;
23;011B0I0H0H0H0H0H0I0H0I102A1H1G1H1G1H1G1H1G1H0--1B0I0M0I0I0H660R0;N100000101;32;1B0I0M0I0I0H660R0;17;8;0;3;2;N;1;0;0;0;0;0;1;0;1;78;49;48;48;48;48;48;49;48;49;47;18;17;17;17;17;17;18;17;18;1B;0I;0M;0I;0I;0H;66;0R;;;;47;18;22;18;18;17;222;27;;;;78;49;53;49;49;48;253;58;;;;W01;W02,W08,W10;;W02,W08,W10;W02,W08,W10;W03,W04,W05,W06,W07,W09;;;;;;;;;
24;011I0M181H170H0H0I0H0I102H1L272G261G1H1I1G1H0--1I0M181H170D0I0I0H630F0;U5KTJ00101;32;1I0M181H170D0I0I0H630F0;23;11;0;6;5;U;5;K;T;J;0;0;1;0;1;85;53;75;84;74;48;48;49;48;49;54;22;44;53;43;17;17;18;17;18;1I;0M;18;1H;17;0D;0I;0I;0H;63;0F;54;22;44;53;43;13;18;18;17;219;15;85;53;75;84;74;44;49;49;48;250;46;W01;W02;W03;W04;W05;;W08,W10;W08,W10;W06,W07,W09;;;;;;
25;011M1C0H1E170H0H0I0H0I102L2B1G2D261G1H1I1G1H0--1M1C0H1E170D0I0I0H630F0;YO0QJ00101;32;1M1C0H1E170D0I0I0H630F0;23;11;0;3;2;Y;O;0;Q;J;0;0;1;0;1;89;79;48;81;74;48;48;49;48;49;58;48;17;50;43;17;17;18;17;18;1M;1C;0H;1E;17;0D;0I;0I;0H;63;0F;58;48;17;50;43;13;18;18;17;219;15;89;79;48;81;74;44;49;49;48;250;46;W01;W02;W03,W06,W07,W09;W04;W05;;W08,W10;W08,W10;W03,W06,W07,W09;;;;;;
26;020I140P0H0H0H0H0I0H0I121I241P1H1I1H1I1J1H1I0--0I140P200I0H0I6524;1G80000101;33;0I140P200I0H0I6524;18;9;;4;3;1;G;8;0;0;0;0;1;0;1;49;71;56;48;48;48;48;49;48;49;18;40;25;17;17;17;17;18;17;18;0I;14;0P;20;0I;0H;0I;65;24;;;18;40;25;72;18;17;18;221;76;;;49;71;56;103;49;48;49;252;107;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
27;020I150O0H0H0H0H0I0H0I121I251O1H1I1H1I1J1H1I0--0I150O200I0H0I6524;1H70000101;33;0I150O200I0H0I6524;18;9;;4;3;1;H;7;0;0;0;0;1;0;1;49;72;55;48;48;48;48;49;48;49;18;41;24;17;17;17;17;18;17;18;0I;15;0O;20;0I;0H;0I;65;24;;;18;41;24;72;18;17;18;221;76;;;49;72;55;103;49;48;49;252;107;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
28;020I190K0H0H0H0H0I0H0I121I291K1H1I1H1I1J1H1I0--0I190K200I0H0I6524;1L30000101;33;0I190K200I0H0I6524;18;9;;4;3;1;L;3;0;0;0;0;1;0;1;49;76;51;48;48;48;48;49;48;49;18;45;20;17;17;17;17;18;17;18;0I;19;0K;20;0I;0H;0I;65;24;;;18;45;20;72;18;17;18;221;76;;;49;76;51;103;49;48;49;252;107;;;W01,W08,W10;W02;W03;;W01,W08,W10;W04,W05,W06,W07,W09;W01,W08,W10;;;;;;;;
29;020J1A0I0H0H0H0H0I0H0I121J2A1I1H1I1H1I1J1H1I0--0J1A0I200I0H0I6524;2M10000101;33;0J1A0I200I0H0I6524;18;9;;4;3;2;M;1;0;0;0;0;1;0;1;50;77;49;48;48;48;48;49;48;49;19;46;18;17;17;17;17;18;17;18;0J;1A;0I;20;0I;0H;0I;65;24;;;19;46;18;72;18;17;18;221;76;;;50;77;49;103;49;48;49;252;107;;;W01;W02;W03,W08,W10;;W03,W08,W10;W04,W05,W06,W07,W09;W03,W08,W10;;;;;;;;
30;02160O0H0H0H0H0H0I0H0I12261O1H1I1H1I1H1I1H1I0--160O0N0I0H0I660S0;I700000101;33;160O0N0I0H0I660S0;17;8;0;3;2;I;7;0;0;0;0;0;1;0;1;73;55;48;48;48;48;48;49;48;49;42;24;17;17;17;17;17;18;17;18;16;0O;0N;0I;0H;0I;66;0S;;;;42;24;23;18;17;18;222;28;;;;73;55;54;49;48;49;253;59;;;;W01;W02;;W08,W10;W03,W04,W05,W06,W07,W09;W08,W10;;;;;;;;;
31;02181F0Q1H170H0H0I0H0I12282F1Q2H271H1I1J1H1I0--181F0Q1H170E0I0H0I630G0;KR9TJ00101;33;181F0Q1H170E0I0H0I630G0;23;11;0;6;5;K;R;9;T;J;0;0;1;0;1;75;82;57;84;74;48;48;49;48;49;44;51;26;53;43;17;17;18;17;18;18;1F;0Q;1H;17;0E;0I;0H;0I;63;0G;44;51;26;53;43;14;18;17;18;219;16;75;82;57;84;74;45;49;48;49;250;47;W01;W02;W03;W04;W05;;W08,W10;W06,W07,W09;W08,W10;;;;;;
