SourceRow;Filename;CastPredDash;Blok1Raw;Blok1Decoded;Prefix;WorkerID;Blok2Raw;Blok2Decoded;TailRaw;TailDecoded;TrailingChar;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;TailTrailingChar
12;001A0I0H0H0H0H0H0I0H0I0Y281G1F1G1F1G1F1G1F1G0--1A0I0L0I0H0I660Q0;001A0I0H0H0H0H0H0I0H0I0Y281G1F1G1F1G1F1G1F1G0;001A0I0H0H0H0H0H0I0H0I;M100000101;;M100000101;0Y281G1F1G1F1G1F1G1F1G;AoSRSRSRSRS;1A0I0L0I0H0I660Q0;M14101ý9;0;00;1A;0I;0H;0H;0H;0H;0H;0I;0H;0I;0Y;28;1G;1F;1G;1F;1G;1F;1G;1F;1G;1A;0I;0L;0I;0H;0I;66;0Q;;;;0
13;001J170M1G170H0H0I0H0I0Y2H251K2E251F1G1H1F1G0--1J170M1G170C0I0H0I630E0;001J170M1G170H0H0I0H0I0Y2H251K2E251F1G1H1F1G0;001J170M1G170H0H0I0H0I;VJ5SJ00101;;VJ5SJ00101;0Y2H251K2E251F1G1H1F1G;AxlWulRSTRS;1J170M1G170C0I0H0I630E0;VJ5SJ+101ú-;0;00;1J;17;0M;1G;17;0H;0H;0I;0H;0I;0Y;2H;25;1K;2E;25;1F;1G;1H;1F;1G;1J;17;0M;1G;17;0C;0I;0H;0I;63;0E;0
14;010I120Q0H0H0H0H0I0H0I101H211P1G1H1G1H1I1G1H0--0I120Q1Z0I0I0H6523;010I120Q0H0H0H0H0I0H0I101H211P1G1H1G1H1I1G1H0;010I120Q0H0H0H0H0I0H0I; 1E90000101; ;1E90000101;101H211P1G1H1G1H1I1G1H;CTh\STSTUST;0I120Q1Z0I0I0H6523;1E9f110üj;0;01;0I;12;0Q;0H;0H;0H;0H;0I;0H;0I;10;1H;21;1P;1G;1H;1G;1H;1I;1G;1H;0I;12;0Q;1Z;0I;0I;0H;65;23;;;
15;010I190J0H0H0H0H0I0H0I101H281I1G1H1G1H1I1G1H0--0I190J1Z0I0I0H6523;010I190J0H0H0H0H0I0H0I101H281I1G1H1G1H1I1G1H0;010I190J0H0H0H0H0I0H0I; 1L20000101; ;1L20000101;101H281I1G1H1G1H1I1G1H;CToUSTSTUST;0I190J1Z0I0I0H6523;1L2f110üj;0;01;0I;19;0J;0H;0H;0H;0H;0I;0H;0I;10;1H;28;1I;1G;1H;1G;1H;1I;1G;1H;0I;19;0J;1Z;0I;0I;0H;65;23;;;
16;010J150M0H0H0H0H0I0H0I101I241L1G1H1G1H1I1G1H0--0J150M1Z0I0I0H6523;010J150M0H0H0H0H0I0H0I101I241L1G1H1G1H1I1G1H0;010J150M0H0H0H0H0I0H0I; 2H50000101; ;2H50000101;101I241L1G1H1G1H1I1G1H;CUkXSTSTUST;0J150M1Z0I0I0H6523;2H5f110üj;0;01;0J;15;0M;0H;0H;0H;0H;0I;0H;0I;10;1I;24;1L;1G;1H;1G;1H;1I;1G;1H;0J;15;0M;1Z;0I;0I;0H;65;23;;;
17;010K0P110H0H0H0H0I0H0I101J1O201G1H1G1H1I1G1H0--0K0P111Z0I0I0H6523;010K0P110H0H0H0H0I0H0I101J1O201G1H1G1H1I1G1H0;010K0P110H0H0H0H0I0H0I; 38D0000101; ;38D0000101;101J1O201G1H1G1H1I1G1H;CV[gSTSTUST;0K0P111Z0I0I0H6523;38Df110üj;0;01;0K;0P;11;0H;0H;0H;0H;0I;0H;0I;10;1J;1O;20;1G;1H;1G;1H;1I;1G;1H;0K;0P;11;1Z;0I;0I;0H;65;23;;;
18;010K130N0H0H0H0H0I0H0I101J221M1G1H1G1H1I1G1H0--0K130N1Z0I0I0H6523;010K130N0H0H0H0H0I0H0I101J221M1G1H1G1H1I1G1H0;010K130N0H0H0H0H0I0H0I; 3F60000101; ;3F60000101;101J221M1G1H1G1H1I1G1H;CViYSTSTUST;0K130N1Z0I0I0H6523;3F6f110üj;0;01;0K;13;0N;0H;0H;0H;0H;0I;0H;0I;10;1J;22;1M;1G;1H;1G;1H;1I;1G;1H;0K;13;0N;1Z;0I;0I;0H;65;23;;;
19;010L170I0H0H0H0H0I0H0I101K261H1G1H1G1H1I1G1H0--0L170I1Z0I0I0H6523;010L170I0H0H0H0H0I0H0I101K261H1G1H1G1H1I1G1H0;010L170I0H0H0H0H0I0H0I; 4J10000101; ;4J10000101;101K261H1G1H1G1H1I1G1H;CWmTSTSTUST;0L170I1Z0I0I0H6523;4J1f110üj;0;01;0L;17;0I;0H;0H;0H;0H;0I;0H;0I;10;1K;26;1H;1G;1H;1G;1H;1I;1G;1H;0L;17;0I;1Z;0I;0I;0H;65;23;;;
20;01130Z1D1E170H0H0I0H0I10221Y2C2D261G1H1I1G1H0--130Z1D1E170D0I0I0H630F0;01130Z1D1E170H0H0I0H0I10221Y2C2D261G1H1I1G1H0;01130Z1D1E170H0H0I0H0I; FBPQJ00101; ;FBPQJ00101;10221Y2C2D261G1H1I1G1H;CiestmSTUST;130Z1D1E170D0I0I0H630F0;FBPQJ,110ú.;0;01;13;0Z;1D;1E;17;0H;0H;0I;0H;0I;10;22;1Y;2C;2D;26;1G;1H;1I;1G;1H;13;0Z;1D;1E;17;0D;0I;0I;0H;63;0F;0
21;01150O0H0H0H0H0H0I0H0I10241N1G1H1G1H1G1H1G1H0--150O0M0I0I0H660R0;01150O0H0H0H0H0H0I0H0I10241N1G1H1G1H1G1H1G1H0;01150O0H0H0H0H0H0I0H0I; H700000101; ;H700000101;10241N1G1H1G1H1G1H1G1H;CkZSTSTSTST;150O0M0I0I0H660R0;H75110ý:;0;01;15;0O;0H;0H;0H;0H;0H;0I;0H;0I;10;24;1N;1G;1H;1G;1H;1G;1H;1G;1H;15;0O;0M;0I;0I;0H;66;0R;;;;0
22;0116181718170H0H0I0H0I1025272627261G1H1I1G1H0--16181718170D0I0I0H630F0;0116181718170H0H0I0H0I1025272627261G1H1I1G1H0;0116181718170H0H0I0H0I; IKJKJ00101; ;IKJKJ00101;1025272627261G1H1I1G1H;ClnmnmSTUST;16181718170D0I0I0H630F0;IKJKJ,110ú.;0;01;16;18;17;18;17;0H;0H;0I;0H;0I;10;25;27;26;27;26;1G;1H;1I;1G;1H;16;18;17;18;17;0D;0I;0I;0H;63;0F;0
23;011B0I0H0H0H0H0H0I0H0I102A1H1G1H1G1H1G1H1G1H0--1B0I0M0I0I0H660R0;011B0I0H0H0H0H0H0I0H0I102A1H1G1H1G1H1G1H1G1H0;011B0I0H0H0H0H0H0I0H0I; N100000101; ;N100000101;102A1H1G1H1G1H1G1H1G1H;CqTSTSTSTST;1B0I0M0I0I0H660R0;N15110ý:;0;01;1B;0I;0H;0H;0H;0H;0H;0I;0H;0I;10;2A;1H;1G;1H;1G;1H;1G;1H;1G;1H;1B;0I;0M;0I;0I;0H;66;0R;;;;0
24;011I0M181H170H0H0I0H0I102H1L272G261G1H1I1G1H0--1I0M181H170D0I0I0H630F0;011I0M181H170H0H0I0H0I102H1L272G261G1H1I1G1H0;011I0M181H170H0H0I0H0I; U5KTJ00101; ;U5KTJ00101;102H1L272G261G1H1I1G1H;CxXnwmSTUST;1I0M181H170D0I0I0H630F0;U5KTJ,110ú.;0;01;1I;0M;18;1H;17;0H;0H;0I;0H;0I;10;2H;1L;27;2G;26;1G;1H;1I;1G;1H;1I;0M;18;1H;17;0D;0I;0I;0H;63;0F;0
25;011M1C0H1E170H0H0I0H0I102L2B1G2D261G1H1I1G1H0--1M1C0H1E170D0I0I0H630F0;011M1C0H1E170H0H0I0H0I102L2B1G2D261G1H1I1G1H0;011M1C0H1E170H0H0I0H0I; YO0QJ00101; ;YO0QJ00101;102L2B1G2D261G1H1I1G1H;C|rStmSTUST;1M1C0H1E170D0I0I0H630F0;YO0QJ,110ú.;0;01;1M;1C;0H;1E;17;0H;0H;0I;0H;0I;10;2L;2B;1G;2D;26;1G;1H;1I;1G;1H;1M;1C;0H;1E;17;0D;0I;0I;0H;63;0F;0
26;020I140P0H0H0H0H0I0H0I121I241P1H1I1H1I1J1H1I0--0I140P200I0H0I6524;020I140P0H0H0H0H0I0H0I121I241P1H1I1H1I1J1H1I0;020I140P0H0H0H0H0I0H0I;!1G80000101;!;1G80000101;121I241P1H1I1H1I1J1H1I;EUk\TUTUVTU;0I140P200I0H0I6524;1G8g101ük;0;02;0I;14;0P;0H;0H;0H;0H;0I;0H;0I;12;1I;24;1P;1H;1I;1H;1I;1J;1H;1I;0I;14;0P;20;0I;0H;0I;65;24;;;
27;020I150O0H0H0H0H0I0H0I121I251O1H1I1H1I1J1H1I0--0I150O200I0H0I6524;020I150O0H0H0H0H0I0H0I121I251O1H1I1H1I1J1H1I0;020I150O0H0H0H0H0I0H0I;!1H70000101;!;1H70000101;121I251O1H1I1H1I1J1H1I;EUl[TUTUVTU;0I150O200I0H0I6524;1H7g101ük;0;02;0I;15;0O;0H;0H;0H;0H;0I;0H;0I;12;1I;25;1O;1H;1I;1H;1I;1J;1H;1I;0I;15;0O;20;0I;0H;0I;65;24;;;
28;020I190K0H0H0H0H0I0H0I121I291K1H1I1H1I1J1H1I0--0I190K200I0H0I6524;020I190K0H0H0H0H0I0H0I121I291K1H1I1H1I1J1H1I0;020I190K0H0H0H0H0I0H0I;!1L30000101;!;1L30000101;121I291K1H1I1H1I1J1H1I;EUpWTUTUVTU;0I190K200I0H0I6524;1L3g101ük;0;02;0I;19;0K;0H;0H;0H;0H;0I;0H;0I;12;1I;29;1K;1H;1I;1H;1I;1J;1H;1I;0I;19;0K;20;0I;0H;0I;65;24;;;
29;020J1A0I0H0H0H0H0I0H0I121J2A1I1H1I1H1I1J1H1I0--0J1A0I200I0H0I6524;020J1A0I0H0H0H0H0I0H0I121J2A1I1H1I1H1I1J1H1I0;020J1A0I0H0H0H0H0I0H0I;!2M10000101;!;2M10000101;121J2A1I1H1I1H1I1J1H1I;EVqUTUTUVTU;0J1A0I200I0H0I6524;2M1g101ük;0;02;0J;1A;0I;0H;0H;0H;0H;0I;0H;0I;12;1J;2A;1I;1H;1I;1H;1I;1J;1H;1I;0J;1A;0I;20;0I;0H;0I;65;24;;;
30;02160O0H0H0H0H0H0I0H0I12261O1H1I1H1I1H1I1H1I0--160O0N0I0H0I660S0;02160O0H0H0H0H0H0I0H0I12261O1H1I1H1I1H1I1H1I0;02160O0H0H0H0H0H0I0H0I;!I700000101;!;I700000101;12261O1H1I1H1I1H1I1H1I;Em[TUTUTUTU;160O0N0I0H0I660S0;"I76101ý;";0;02;16;0O;0H;0H;0H;0H;0H;0I;0H;0I;12;26;1O;1H;1I;1H;1I;1H;1I;1H;1I;16;0O;0N;0I;0H;0I;66;0S;;;;0
31;02181F0Q1H170H0H0I0H0I12282F1Q2H271H1I1J1H1I0--181F0Q1H170E0I0H0I630G0;02181F0Q1H170H0H0I0H0I12282F1Q2H271H1I1J1H1I0;02181F0Q1H170H0H0I0H0I;!KR9TJ00101;!;KR9TJ00101;12282F1Q2H271H1I1J1H1I;Eov]xnTUVTU;181F0Q1H170E0I0H0I630G0;KR9TJ-101ú/;0;02;18;1F;0Q;1H;17;0H;0H;0I;0H;0I;12;28;2F;1Q;2H;27;1H;1I;1J;1H;1I;18;1F;0Q;1H;17;0E;0I;0H;0I;63;0G;0
32;021A0K0H0H0H0H0H0I0H0I122A1K1H1I1H1I1H1I1H1I0--1A0K0N0I0H0I660S0;021A0K0H0H0H0H0H0I0H0I122A1K1H1I1H1I1H1I1H1I0;021A0K0H0H0H0H0H0I0H0I;!M300000101;!;M300000101;122A1K1H1I1H1I1H1I1H1I;EqWTUTUTUTU;1A0K0N0I0H0I660S0;"M36101ý;";0;02;1A;0K;0H;0H;0H;0H;0H;0I;0H;0I;12;2A;1K;1H;1I;1H;1I;1H;1I;1H;1I;1A;0K;0N;0I;0H;0I;66;0S;;;;0
33;021B0J0H0H0H0H0H0I0H0I122B1J1H1I1H1I1H1I1H1I0--1B0J0N0I0H0I660S0;021B0J0H0H0H0H0H0I0H0I122B1J1H1I1H1I1H1I1H1I0;021B0J0H0H0H0H0H0I0H0I;!N200000101;!;N200000101;122B1J1H1I1H1I1H1I1H1I;ErVTUTUTUTU;1B0J0N0I0H0I660S0;"N26101ý;";0;02;1B;0J;0H;0H;0H;0H;0H;0I;0H;0I;12;2B;1J;1H;1I;1H;1I;1H;1I;1H;1I;1B;0J;0N;0I;0H;0I;66;0S;;;;0
34;030I140Q0H0H0H0H0I0H0I141J251R1I1J1I1J1K1I1J0--0I140Q210I0I0H6525;030I140Q0H0H0H0H0I0H0I141J251R1I1J1I1J1K1I1J0;030I140Q0H0H0H0H0I0H0I;"""1G90000101";"""";1G90000101;141J251R1I1J1I1J1K1I1J;GVl^UVUVWUV;0I140Q210I0I0H6525;1G9h110ül;0;03;0I;14;0Q;0H;0H;0H;0H;0I;0H;0I;14;1J;25;1R;1I;1J;1I;1J;1K;1I;1J;0I;14;0Q;21;0I;0I;0H;65;25;;;
35;030I160O0H0H0H0H0I0H0I141J271P1I1J1I1J1K1I1J0--0I160O210I0I0H6525;030I160O0H0H0H0H0I0H0I141J271P1I1J1I1J1K1I1J0;030I160O0H0H0H0H0I0H0I;"""1I70000101";"""";1I70000101;141J271P1I1J1I1J1K1I1J;GVn\UVUVWUV;0I160O210I0I0H6525;1I7h110ül;0;03;0I;16;0O;0H;0H;0H;0H;0I;0H;0I;14;1J;27;1P;1I;1J;1I;1J;1K;1I;1J;0I;16;0O;21;0I;0I;0H;65;25;;;
