SourceRow;Filename;CastPredDash;Blok1Raw;Blok1Decoded;Prefix;WorkerID;Blok2Raw;Blok2Decoded;TailRaw;TailDecoded;TrailingChar;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;TailTrailingChar
293;0U0J1L0Z0H0H0H0H0I0H0I2M2B3D2R292A292A2B292A0--0J1L0Z010I0I0H6505;0U0J1L0Z0H0H0H0H0I0H0I2M2B3D2R292A292A2B292A0;0U0J1L0Z0H0H0H0H0I0H0I;=2XB0000101;=;2XB0000101;2M2B3D2R292A292A2B292A;}r‚pqpqrpq;0J1L0Z010I0I0H6505;2XB 110ü$;0;0U;0J;1L;0Z;0H;0H;0H;0H;0I;0H;0I;2M;2B;3D;2R;29;2A;29;2A;2B;29;2A;0J;1L;0Z;01;0I;0I;0H;65;05;;;
294;0U0J1M0Y0H0H0H0H0I0H0I2M2B3E2Q292A292A2B292A0--0J1M0Y010I0I0H6505;0U0J1M0Y0H0H0H0H0I0H0I2M2B3E2Q292A292A2B292A0;0U0J1M0Y0H0H0H0H0I0H0I;=2YA0000101;=;2YA0000101;2M2B3E2Q292A292A2B292A;}r™pqpqrpq;0J1M0Y010I0I0H6505;2YA 110ü$;0;0U;0J;1M;0Y;0H;0H;0H;0H;0I;0H;0I;2M;2B;3E;2Q;29;2A;29;2A;2B;29;2A;0J;1M;0Y;01;0I;0I;0H;65;05;;;
295;0U1B1H1E1G170H0H0I0H0I2M333936382Z292A2B292A0--1B1H1E1G17160I0H0I63180;0U1B1H1E1G170H0H0I0H0I2M333936382Z292A2B292A0;0U1B1H1E1G170H0H0I0H0I;=NTQSJ00101;=;NTQSJ00101;2M333936382Z292A2B292A;}Ž”‘“Špqrpq;1B1H1E1G17160I0H0I63180;NTQSJI101úK;0;0U;1B;1H;1E;1G;17;0H;0H;0I;0H;0I;2M;33;39;36;38;2Z;29;2A;2B;29;2A;1B;1H;1E;1G;17;16;0I;0H;0I;63;18;0
296;0V0I0L0H0H0H0H0H0I0H0I2O2B2E2A2B2A2B2A2B2A2B0--0I0L010I0H0I66060;0V0I0L0H0H0H0H0H0I0H0I2O2B2E2A2B2A2B2A2B2A2B0;0V0I0L0H0H0H0H0H0I0H0I;>1400000101;>;1400000101;2O2B2E2A2B2A2B2A2B2A2B;ruqrqrqrqr;0I0L010I0H0I66060;14 101ý%;0;0V;0I;0L;0H;0H;0H;0H;0H;0I;0H;0I;2O;2B;2E;2A;2B;2A;2B;2A;2B;2A;2B;0I;0L;01;0I;0H;0I;66;06;;;;0
297;0V0I1N0Z0H0H0H0H0I0H0I2O2B3G2S2A2B2A2B2C2A2B0--0I1N0Z010I0I0H6505;0V0I1N0Z0H0H0H0H0I0H0I2O2B3G2S2A2B2A2B2C2A2B0;0V0I1N0Z0H0H0H0H0I0H0I;>1ZB0000101;>;1ZB0000101;2O2B3G2S2A2B2A2B2C2A2B;r›qrqrsqr;0I1N0Z010I0I0H6505;1ZB 110ü$;0;0V;0I;1N;0Z;0H;0H;0H;0H;0I;0H;0I;2O;2B;3G;2S;2A;2B;2A;2B;2C;2A;2B;0I;1N;0Z;01;0I;0I;0H;65;05;;;
298;0V0K0J0H0H0H0H0H0I0H0I2O2D2C2A2B2A2B2A2B2A2B0--0K0J010I0H0I66060;0V0K0J0H0H0H0H0H0I0H0I2O2D2C2A2B2A2B2A2B2A2B0;0V0K0J0H0H0H0H0H0I0H0I;>3200000101;>;3200000101;2O2D2C2A2B2A2B2A2B2A2B;tsqrqrqrqr;0K0J010I0H0I66060;32 101ý%;0;0V;0K;0J;0H;0H;0H;0H;0H;0I;0H;0I;2O;2D;2C;2A;2B;2A;2B;2A;2B;2A;2B;0K;0J;01;0I;0H;0I;66;06;;;;0
299;0W0I0H0M0H0H0H0H0I0H0I2Q2C2B2G2B2C2B2C2D2B2C0--0I0H0M1A0I0H0I651E;0W0I0H0M0H0H0H0H0I0H0I2Q2C2B2G2B2C2B2C2D2B2C0;0W0I0H0M0H0H0H0H0I0H0I;?1050000101;?;1050000101;2Q2C2B2G2B2C2B2C2D2B2C;srwrsrstrs;0I0H0M1A0I0H0I651E;105M101üQ;0;0W;0I;0H;0M;0H;0H;0H;0H;0I;0H;0I;2Q;2C;2B;2G;2B;2C;2B;2C;2D;2B;2C;0I;0H;0M;1A;0I;0H;0I;65;1E;;;
300;0W0I120I0Y130H0H0I0H0I2Q2C2W2C2S2X2B2C2D2B2C0--0I120I0Y13180I0H0I631A0;0W0I120I0Y130H0H0I0H0I2Q2C2W2C2S2X2B2C2D2B2C0;0W0I120I0Y130H0H0I0H0I;?1E1AF00101;?;1E1AF00101;2Q2C2W2C2S2X2B2C2D2B2C;s‡srstrs;0I120I0Y13180I0H0I631A0;1E1AFK101úM;0;0W;0I;12;0I;0Y;13;0H;0H;0I;0H;0I;2Q;2C;2W;2C;2S;2X;2B;2C;2D;2B;2C;0I;12;0I;0Y;13;18;0I;0H;0I;63;1A;0
301;0W0J0L0H0H0H0H0H0I0H0I2Q2D2F2B2C2B2C2B2C2B2C0--0J0L010I0H0I66060;0W0J0L0H0H0H0H0H0I0H0I2Q2D2F2B2C2B2C2B2C2B2C0;0W0J0L0H0H0H0H0H0I0H0I;?2400000101;?;2400000101;2Q2D2F2B2C2B2C2B2C2B2C;tvrsrsrsrs;0J0L010I0H0I66060;24 101ý%;0;0W;0J;0L;0H;0H;0H;0H;0H;0I;0H;0I;2Q;2D;2F;2B;2C;2B;2C;2B;2C;2B;2C;0J;0L;01;0I;0H;0I;66;06;;;;0
302;0W161K1H1H170H0H0I0H0I2Q303E3B3C312B2C2D2B2C0--161K1H1H17180I0H0I631A0;0W161K1H1H170H0H0I0H0I2Q303E3B3C312B2C2D2B2C0;0W161K1H1H170H0H0I0H0I;?IWTTJ00101;?;IWTTJ00101;2Q303E3B3C312B2C2D2B2C;‹™–—Śrstrs;161K1H1H17180I0H0I631A0;IWTTJK101úM;0;0W;16;1K;1H;1H;17;0H;0H;0I;0H;0I;2Q;30;3E;3B;3C;31;2B;2C;2D;2B;2C;16;1K;1H;1H;17;18;0I;0H;0I;63;1A;0
303;0W1L1L181A170H0H0I0H0I2Q3F3G3234312B2C2D2B2C0--1L1L181A17180I0H0I631A0;0W1L1L181A170H0H0I0H0I2Q3F3G3234312B2C2D2B2C0;0W1L1L181A170H0H0I0H0I;?XXKMJ00101;?;XXKMJ00101;2Q3F3G3234312B2C2D2B2C;š›ŤŹŚrstrs;1L1L181A17180I0H0I631A0;XXKMJK101úM;0;0W;1L;1L;18;1A;17;0H;0H;0I;0H;0I;2Q;3F;3G;32;34;31;2B;2C;2D;2B;2C;1L;1L;18;1A;17;18;0I;0H;0I;63;1A;0
304;0X0I0N0H0H0H0H0H0I0H0I2S2D2I2C2D2C2D2C2D2C2D0--0I0N010I0H0I66060;0X0I0N0H0H0H0H0H0I0H0I2S2D2I2C2D2C2D2C2D2C2D0;0X0I0N0H0H0H0H0H0I0H0I;@1600000101;@;1600000101;2S2D2I2C2D2C2D2C2D2C2D;tystststst;0I0N010I0H0I66060;16 101ý%;0;0X;0I;0N;0H;0H;0H;0H;0H;0I;0H;0I;2S;2D;2I;2C;2D;2C;2D;2C;2D;2C;2D;0I;0N;01;0I;0H;0I;66;06;;;;0
305;0X0J0H0M0H0H0H0H0I0H0I2S2E2C2H2C2D2C2D2E2C2D0--0J0H0M1B0I0I0H651F;0X0J0H0M0H0H0H0H0I0H0I2S2E2C2H2C2D2C2D2E2C2D0;0X0J0H0M0H0H0H0H0I0H0I;@2050000101;@;2050000101;2S2E2C2H2C2D2C2D2E2C2D;usxststust;0J0H0M1B0I0I0H651F;205N110üR;0;0X;0J;0H;0M;0H;0H;0H;0H;0I;0H;0I;2S;2E;2C;2H;2C;2D;2C;2D;2E;2C;2D;0J;0H;0M;1B;0I;0I;0H;65;1F;;;
306;0X0K0L0H0H0H0H0H0I0H0I2S2F2G2C2D2C2D2C2D2C2D0--0K0L010I0H0I66060;0X0K0L0H0H0H0H0H0I0H0I2S2F2G2C2D2C2D2C2D2C2D0;0X0K0L0H0H0H0H0H0I0H0I;@3400000101;@;3400000101;2S2F2G2C2D2C2D2C2D2C2D;vwstststst;0K0L010I0H0I66060;34 101ý%;0;0X;0K;0L;0H;0H;0H;0H;0H;0I;0H;0I;2S;2F;2G;2C;2D;2C;2D;2C;2D;2C;2D;0K;0L;01;0I;0H;0I;66;06;;;;0
307;0Y0L0L0H0H0H0H0H0I0H0I2U2H2I2D2E2D2E2D2E2D2E0--0L0L010I0H0I66060;0Y0L0L0H0H0H0H0H0I0H0I2U2H2I2D2E2D2E2D2E2D2E0;0Y0L0L0H0H0H0H0H0I0H0I;A4400000101;A;4400000101;2U2H2I2D2E2D2E2D2E2D2E;…xytutututu;0L0L010I0H0I66060;44 101ý%;0;0Y;0L;0L;0H;0H;0H;0H;0H;0I;0H;0I;2U;2H;2I;2D;2E;2D;2E;2D;2E;2D;2E;0L;0L;01;0I;0H;0I;66;06;;;;0
308;0Z0I0J0N0H0H0H0H0I0H0I2W2F2G2K2E2F2E2F2G2E2F0--0I0J0N1D0I0I0H651H;0Z0I0J0N0H0H0H0H0I0H0I2W2F2G2K2E2F2E2F2G2E2F0;0Z0I0J0N0H0H0H0H0I0H0I;B1260000101;B;1260000101;2W2F2G2K2E2F2E2F2G2E2F;‡vw{uvuvwuv;0I0J0N1D0I0I0H651H;126P110üT;0;0Z;0I;0J;0N;0H;0H;0H;0H;0I;0H;0I;2W;2F;2G;2K;2E;2F;2E;2F;2G;2E;2F;0I;0J;0N;1D;0I;0I;0H;65;1H;;;
309;0Z0I0M0K0H0H0H0H0I0H0I2W2F2J2H2E2F2E2F2G2E2F0--0I0M0K1D0I0I0H651H;0Z0I0M0K0H0H0H0H0I0H0I2W2F2J2H2E2F2E2F2G2E2F0;0Z0I0M0K0H0H0H0H0I0H0I;B1530000101;B;1530000101;2W2F2J2H2E2F2E2F2G2E2F;‡vzxuvuvwuv;0I0M0K1D0I0I0H651H;153P110üT;0;0Z;0I;0M;0K;0H;0H;0H;0H;0I;0H;0I;2W;2F;2J;2H;2E;2F;2E;2F;2G;2E;2F;0I;0M;0K;1D;0I;0I;0H;65;1H;;;
310;0Z0J0O0H0H0H0H0H0I0H0I2W2G2L2E2F2E2F2E2F2E2F0--0J0O010I0H0I66060;0Z0J0O0H0H0H0H0H0I0H0I2W2G2L2E2F2E2F2E2F2E2F0;0Z0J0O0H0H0H0H0H0I0H0I;B2700000101;B;2700000101;2W2G2L2E2F2E2F2E2F2E2F;‡w|uvuvuvuv;0J0O010I0H0I66060;27 101ý%;0;0Z;0J;0O;0H;0H;0H;0H;0H;0I;0H;0I;2W;2G;2L;2E;2F;2E;2F;2E;2F;2E;2F;0J;0O;01;0I;0H;0I;66;06;;;;0
311;0Z0K0M0I0H0H0H0H0I0H0I2W2H2J2F2E2F2E2F2G2E2F0--0K0M0I1D0I0I0H651H;0Z0K0M0I0H0H0H0H0I0H0I2W2H2J2F2E2F2E2F2G2E2F0;0Z0K0M0I0H0H0H0H0I0H0I;B3510000101;B;3510000101;2W2H2J2F2E2F2E2F2G2E2F;‡xzvuvuvwuv;0K0M0I1D0I0I0H651H;351P110üT;0;0Z;0K;0M;0I;0H;0H;0H;0H;0I;0H;0I;2W;2H;2J;2F;2E;2F;2E;2F;2G;2E;2F;0K;0M;0I;1D;0I;0I;0H;65;1H;;;
312;0Z0O0J0H0H0H0H0H0I0H0I2W2L2G2E2F2E2F2E2F2E2F0--0O0J010I0H0I66060;0Z0O0J0H0H0H0H0H0I0H0I2W2L2G2E2F2E2F2E2F2E2F0;0Z0O0J0H0H0H0H0H0I0H0I;B7200000101;B;7200000101;2W2L2G2E2F2E2F2E2F2E2F;‡|wuvuvuvuv;0O0J010I0H0I66060;72 101ý%;0;0Z;0O;0J;0H;0H;0H;0H;0H;0I;0H;0I;2W;2L;2G;2E;2F;2E;2F;2E;2F;2E;2F;0O;0J;01;0I;0H;0I;66;06;;;;0
313;0Z0P0H0I0H0H0H0H0I0H0I2W2M2E2F2E2F2E2F2G2E2F0--0P0H0I1D0I0I0H651H;0Z0P0H0I0H0H0H0H0I0H0I2W2M2E2F2E2F2E2F2G2E2F0;0Z0P0H0I0H0H0H0H0I0H0I;B8010000101;B;8010000101;2W2M2E2F2E2F2E2F2G2E2F;‡}uvuvuvwuv;0P0H0I1D0I0I0H651H;801P110üT;0;0Z;0P;0H;0I;0H;0H;0H;0H;0I;0H;0I;2W;2M;2E;2F;2E;2F;2E;2F;2G;2E;2F;0P;0H;0I;1D;0I;0I;0H;65;1H;;;
314;0Z1N1A1E1G170H0H0I0H0I2W3K373B3D342E2F2G2E2F0--1N1A1E1G171B0I0I0H631D0;0Z1N1A1E1G170H0H0I0H0I2W3K373B3D342E2F2G2E2F0;0Z1N1A1E1G170H0H0I0H0I;BZMQSJ00101;B;ZMQSJ00101;2W3K373B3D342E2F2G2E2F;‡ź’–Źuvwuv;1N1A1E1G171B0I0I0H631D0;ZMQSJN110úP;0;0Z;1N;1A;1E;1G;17;0H;0H;0I;0H;0I;2W;3K;37;3B;3D;34;2E;2F;2G;2E;2F;1N;1A;1E;1G;17;1B;0I;0I;0H;63;1D;0
315;100I0H0Q0H0H0H0H0I0H0I2Y2G2F2O2F2G2F2G2H2F2G0--0I0H0Q1E0I0H0I651I;100I0H0Q0H0H0H0H0I0H0I2Y2G2F2O2F2G2F2G2H2F2G0;100I0H0Q0H0H0H0H0I0H0I;C1090000101;C;1090000101;2Y2G2F2O2F2G2F2G2H2F2G;‰wvvwvwxvw;0I0H0Q1E0I0H0I651I;109Q101üU;0;10;0I;0H;0Q;0H;0H;0H;0H;0I;0H;0I;2Y;2G;2F;2O;2F;2G;2F;2G;2H;2F;2G;0I;0H;0Q;1E;0I;0H;0I;65;1I;;;
316;100I0J0O0H0H0H0H0I0H0I2Y2G2H2M2F2G2F2G2H2F2G0--0I0J0O1E0I0H0I651I;100I0J0O0H0H0H0H0I0H0I2Y2G2H2M2F2G2F2G2H2F2G0;100I0J0O0H0H0H0H0I0H0I;C1270000101;C;1270000101;2Y2G2H2M2F2G2F2G2H2F2G;‰wx}vwvwxvw;0I0J0O1E0I0H0I651I;127Q101üU;0;10;0I;0J;0O;0H;0H;0H;0H;0I;0H;0I;2Y;2G;2H;2M;2F;2G;2F;2G;2H;2F;2G;0I;0J;0O;1E;0I;0H;0I;65;1I;;;
317;100I0Q0H0H0H0H0H0I0H0I2Y2G2O2F2G2F2G2F2G2F2G0--0I0Q010I0H0I66060;100I0Q0H0H0H0H0H0I0H0I2Y2G2O2F2G2F2G2F2G2F2G0;100I0Q0H0H0H0H0H0I0H0I;C1900000101;C;1900000101;2Y2G2O2F2G2F2G2F2G2F2G;‰wvwvwvwvw;0I0Q010I0H0I66060;19 101ý%;0;10;0I;0Q;0H;0H;0H;0H;0H;0I;0H;0I;2Y;2G;2O;2F;2G;2F;2G;2F;2G;2F;2G;0I;0Q;01;0I;0H;0I;66;06;;;;0
318;100J0I0O0H0H0H0H0I0H0I2Y2H2G2M2F2G2F2G2H2F2G0--0J0I0O1E0I0H0I651I;100J0I0O0H0H0H0H0I0H0I2Y2H2G2M2F2G2F2G2H2F2G0;100J0I0O0H0H0H0H0I0H0I;C2170000101;C;2170000101;2Y2H2G2M2F2G2F2G2H2F2G;‰xw}vwvwxvw;0J0I0O1E0I0H0I651I;217Q101üU;0;10;0J;0I;0O;0H;0H;0H;0H;0I;0H;0I;2Y;2H;2G;2M;2F;2G;2F;2G;2H;2F;2G;0J;0I;0O;1E;0I;0H;0I;65;1I;;;
319;100J0K0M0H0H0H0H0I0H0I2Y2H2I2K2F2G2F2G2H2F2G0--0J0K0M1E0I0H0I651I;100J0K0M0H0H0H0H0I0H0I2Y2H2I2K2F2G2F2G2H2F2G0;100J0K0M0H0H0H0H0I0H0I;C2350000101;C;2350000101;2Y2H2I2K2F2G2F2G2H2F2G;‰xy{vwvwxvw;0J0K0M1E0I0H0I651I;235Q101üU;0;10;0J;0K;0M;0H;0H;0H;0H;0I;0H;0I;2Y;2H;2I;2K;2F;2G;2F;2G;2H;2F;2G;0J;0K;0M;1E;0I;0H;0I;65;1I;;;
320;100P0J0H0H0H0H0H0I0H0I2Y2N2H2F2G2F2G2F2G2F2G0--0P0J010I0H0I66060;100P0J0H0H0H0H0H0I0H0I2Y2N2H2F2G2F2G2F2G2F2G0;100P0J0H0H0H0H0H0I0H0I;C8200000101;C;8200000101;2Y2N2H2F2G2F2G2F2G2F2G;‰~xvwvwvwvw;0P0J010I0H0I66060;82 101ý%;0;10;0P;0J;0H;0H;0H;0H;0H;0I;0H;0I;2Y;2N;2H;2F;2G;2F;2G;2F;2G;2F;2G;0P;0J;01;0I;0H;0I;66;06;;;;0
321;100Q0I0H0H0H0H0H0I0H0I2Y2O2G2F2G2F2G2F2G2F2G0--0Q0I010I0H0I66060;100Q0I0H0H0H0H0H0I0H0I2Y2O2G2F2G2F2G2F2G2F2G0;100Q0I0H0H0H0H0H0I0H0I;C9100000101;C;9100000101;2Y2O2G2F2G2F2G2F2G2F2G;‰wvwvwvwvw;0Q0I010I0H0I66060;91 101ý%;0;10;0Q;0I;0H;0H;0H;0H;0H;0I;0H;0I;2Y;2O;2G;2F;2G;2F;2G;2F;2G;2F;2G;0Q;0I;01;0I;0H;0I;66;06;;;;0
322;110I0K0O0H0H0H0H0I0H0I302H2J2N2G2H2G2H2I2G2H0--0I0K0O1F0I0I0H651J;110I0K0O0H0H0H0H0I0H0I302H2J2N2G2H2G2H2I2G2H0;110I0K0O0H0H0H0H0I0H0I;D1370000101;D;1370000101;302H2J2N2G2H2G2H2I2G2H;‹xz~wxwxywx;0I0K0O1F0I0I0H651J;137R110üV;0;11;0I;0K;0O;0H;0H;0H;0H;0I;0H;0I;30;2H;2J;2N;2G;2H;2G;2H;2I;2G;2H;0I;0K;0O;1F;0I;0I;0H;65;1J;;;
323;110K0P0H0H0H0H0H0I0H0I302J2O2G2H2G2H2G2H2G2H0--0K0P020I0I0H66070;110K0P0H0H0H0H0H0I0H0I302J2O2G2H2G2H2G2H2G2H0;110K0P0H0H0H0H0H0I0H0I;D3800000101;D;3800000101;302J2O2G2H2G2H2G2H2G2H;‹zwxwxwxwx;0K0P020I0I0H66070;38!110ý&;0;11;0K;0P;0H;0H;0H;0H;0H;0I;0H;0I;30;2J;2O;2G;2H;2G;2H;2G;2H;2G;2H;0K;0P;02;0I;0I;0H;66;07;;;;0
324;110O0L0H0H0H0H0H0I0H0I302N2K2G2H2G2H2G2H2G2H0--0O0L020I0I0H66070;110O0L0H0H0H0H0H0I0H0I302N2K2G2H2G2H2G2H2G2H0;110O0L0H0H0H0H0H0I0H0I;D7400000101;D;7400000101;302N2K2G2H2G2H2G2H2G2H;‹~{wxwxwxwx;0O0L020I0I0H66070;74!110ý&;0;11;0O;0L;0H;0H;0H;0H;0H;0I;0H;0I;30;2N;2K;2G;2H;2G;2H;2G;2H;2G;2H;0O;0L;02;0I;0I;0H;66;07;;;;0
325;120I0L0O0H0H0H0H0I0H0I322I2L2O2H2I2H2I2J2H2I0--0I0L0O1G0I0H0I651K;120I0L0O0H0H0H0H0I0H0I322I2L2O2H2I2H2I2J2H2I0;120I0L0O0H0H0H0H0I0H0I;E1470000101;E;1470000101;322I2L2O2H2I2H2I2J2H2I;Ťy|xyxyzxy;0I0L0O1G0I0H0I651K;147S101üW;0;12;0I;0L;0O;0H;0H;0H;0H;0I;0H;0I;32;2I;2L;2O;2H;2I;2H;2I;2J;2H;2I;0I;0L;0O;1G;0I;0H;0I;65;1K;;;
326;120I0M0N0H0H0H0H0I0H0I322I2M2N2H2I2H2I2J2H2I0--0I0M0N1G0I0H0I651K;120I0M0N0H0H0H0H0I0H0I322I2M2N2H2I2H2I2J2H2I0;120I0M0N0H0H0H0H0I0H0I;E1560000101;E;1560000101;322I2M2N2H2I2H2I2J2H2I;Ťy}~xyxyzxy;0I0M0N1G0I0H0I651K;156S101üW;0;12;0I;0M;0N;0H;0H;0H;0H;0I;0H;0I;32;2I;2M;2N;2H;2I;2H;2I;2J;2H;2I;0I;0M;0N;1G;0I;0H;0I;65;1K;;;
327;120I0P0K0H0H0H0H0I0H0I322I2P2K2H2I2H2I2J2H2I0--0I0P0K1G0I0H0I651K;120I0P0K0H0H0H0H0I0H0I322I2P2K2H2I2H2I2J2H2I0;120I0P0K0H0H0H0H0I0H0I;E1830000101;E;1830000101;322I2P2K2H2I2H2I2J2H2I;Ťy€{xyxyzxy;0I0P0K1G0I0H0I651K;183S101üW;0;12;0I;0P;0K;0H;0H;0H;0H;0I;0H;0I;32;2I;2P;2K;2H;2I;2H;2I;2J;2H;2I;0I;0P;0K;1G;0I;0H;0I;65;1K;;;
328;120I0Q0J0H0H0H0H0I0H0I322I2Q2J2H2I2H2I2J2H2I0--0I0Q0J1G0I0H0I651K;120I0Q0J0H0H0H0H0I0H0I322I2Q2J2H2I2H2I2J2H2I0;120I0Q0J0H0H0H0H0I0H0I;E1920000101;E;1920000101;322I2Q2J2H2I2H2I2J2H2I;Ťyzxyxyzxy;0I0Q0J1G0I0H0I651K;192S101üW;0;12;0I;0Q;0J;0H;0H;0H;0H;0I;0H;0I;32;2I;2Q;2J;2H;2I;2H;2I;2J;2H;2I;0I;0Q;0J;1G;0I;0H;0I;65;1K;;;
329;120J12130H140H0H0I0H0I322J32332H342H2I2J2H2I0--0J12130H141E0I0H0I631G0;120J12130H140H0H0I0H0I322J32332H342H2I2J2H2I0;120J12130H140H0H0I0H0I;E2EF0G00101;E;2EF0G00101;322J32332H342H2I2J2H2I;ŤzŤŽxŹxyzxy;0J12130H141E0I0H0I631G0;2EF0GQ101úS;0;12;0J;12;13;0H;14;0H;0H;0I;0H;0I;32;2J;32;33;2H;34;2H;2I;2J;2H;2I;0J;12;13;0H;14;1E;0I;0H;0I;63;1G;0
330;120K0Q0H0H0H0H0H0I0H0I322K2Q2H2I2H2I2H2I2H2I0--0K0Q030I0H0I66080;120K0Q0H0H0H0H0H0I0H0I322K2Q2H2I2H2I2H2I2H2I0;120K0Q0H0H0H0H0H0I0H0I;E3900000101;E;3900000101;322K2Q2H2I2H2I2H2I2H2I;Ť{xyxyxyxy;0K0Q030I0H0I66080;"39""101ý'";0;12;0K;0Q;0H;0H;0H;0H;0H;0I;0H;0I;32;2K;2Q;2H;2I;2H;2I;2H;2I;2H;2I;0K;0Q;03;0I;0H;0I;66;08;;;;0
331;120L0I0O0H0H0H0H0I0H0I322L2I2O2H2I2H2I2J2H2I0--0L0I0O1G0I0H0I651K;120L0I0O0H0H0H0H0I0H0I322L2I2O2H2I2H2I2J2H2I0;120L0I0O0H0H0H0H0I0H0I;E4170000101;E;4170000101;322L2I2O2H2I2H2I2J2H2I;Ť|yxyxyzxy;0L0I0O1G0I0H0I651K;417S101üW;0;12;0L;0I;0O;0H;0H;0H;0H;0I;0H;0I;32;2L;2I;2O;2H;2I;2H;2I;2J;2H;2I;0L;0I;0O;1G;0I;0H;0I;65;1K;;;
332;120L0K0M0H0H0H0H0I0H0I322L2K2M2H2I2H2I2J2H2I0--0L0K0M1G0I0H0I651K;120L0K0M0H0H0H0H0I0H0I322L2K2M2H2I2H2I2J2H2I0;120L0K0M0H0H0H0H0I0H0I;E4350000101;E;4350000101;322L2K2M2H2I2H2I2J2H2I;Ť|{}xyxyzxy;0L0K0M1G0I0H0I651K;435S101üW;0;12;0L;0K;0M;0H;0H;0H;0H;0I;0H;0I;32;2L;2K;2M;2H;2I;2H;2I;2J;2H;2I;0L;0K;0M;1G;0I;0H;0I;65;1K;;;
333;120L120O1D0L0H0H0I0H0I322L322O3D2L2H2I2J2H2I0--0L120O1D0L1E0I0H0I631G0;120L120O1D0L0H0H0I0H0I322L322O3D2L2H2I2J2H2I0;120L120O1D0L0H0H0I0H0I;E4E7P400101;E;4E7P400101;322L322O3D2L2H2I2J2H2I;Ť|Ť|xyzxy;0L120O1D0L1E0I0H0I631G0;4E7P4Q101úS;0;12;0L;12;0O;1D;0L;0H;0H;0I;0H;0I;32;2L;32;2O;3D;2L;2H;2I;2J;2H;2I;0L;12;0O;1D;0L;1E;0I;0H;0I;63;1G;0
334;130I0K0Q0H0H0H0H0I0H0I342J2L2R2I2J2I2J2K2I2J0--0I0K0Q1H0I0I0H651L;130I0K0Q0H0H0H0H0I0H0I342J2L2R2I2J2I2J2K2I2J0;130I0K0Q0H0H0H0H0I0H0I;F1390000101;F;1390000101;342J2L2R2I2J2I2J2K2I2J;Źz|‚yzyz{yz;0I0K0Q1H0I0I0H651L;139T110üX;0;13;0I;0K;0Q;0H;0H;0H;0H;0I;0H;0I;34;2J;2L;2R;2I;2J;2I;2J;2K;2I;2J;0I;0K;0Q;1H;0I;0I;0H;65;1L;;;
335;130I0L0P0H0H0H0H0I0H0I342J2M2Q2I2J2I2J2K2I2J0--0I0L0P1H0I0I0H651L;130I0L0P0H0H0H0H0I0H0I342J2M2Q2I2J2I2J2K2I2J0;130I0L0P0H0H0H0H0I0H0I;F1480000101;F;1480000101;342J2M2Q2I2J2I2J2K2I2J;Źz}yzyz{yz;0I0L0P1H0I0I0H651L;148T110üX;0;13;0I;0L;0P;0H;0H;0H;0H;0I;0H;0I;34;2J;2M;2Q;2I;2J;2I;2J;2K;2I;2J;0I;0L;0P;1H;0I;0I;0H;65;1L;;;
336;130I0M0O0H0H0H0H0I0H0I342J2N2P2I2J2I2J2K2I2J0--0I0M0O1H0I0I0H651L;130I0M0O0H0H0H0H0I0H0I342J2N2P2I2J2I2J2K2I2J0;130I0M0O0H0H0H0H0I0H0I;F1570000101;F;1570000101;342J2N2P2I2J2I2J2K2I2J;Źz~€yzyz{yz;0I0M0O1H0I0I0H651L;157T110üX;0;13;0I;0M;0O;0H;0H;0H;0H;0I;0H;0I;34;2J;2N;2P;2I;2J;2I;2J;2K;2I;2J;0I;0M;0O;1H;0I;0I;0H;65;1L;;;
337;130I0N0N0H0H0H0H0I0H0I342J2O2P2I2J2I2J2K2I2J0--0I0N0N1H0I0I0H651L;130I0N0N0H0H0H0H0I0H0I342J2O2P2I2J2I2J2K2I2J0;130I0N0N0H0H0H0H0I0H0I;F1660000101;F;1660000101;342J2O2P2I2J2I2J2K2I2J;Źz€yzyz{yz;0I0N0N1H0I0I0H651L;166T110üX;0;13;0I;0N;0N;0H;0H;0H;0H;0I;0H;0I;34;2J;2O;2P;2I;2J;2I;2J;2K;2I;2J;0I;0N;0N;1H;0I;0I;0H;65;1L;;;
338;130I0O0M0H0H0H0H0I0H0I342J2P2N2I2J2I2J2K2I2J0--0I0O0M1H0I0I0H651L;130I0O0M0H0H0H0H0I0H0I342J2P2N2I2J2I2J2K2I2J0;130I0O0M0H0H0H0H0I0H0I;F1750000101;F;1750000101;342J2P2N2I2J2I2J2K2I2J;Źz€~yzyz{yz;0I0O0M1H0I0I0H651L;175T110üX;0;13;0I;0O;0M;0H;0H;0H;0H;0I;0H;0I;34;2J;2P;2N;2I;2J;2I;2J;2K;2I;2J;0I;0O;0M;1H;0I;0I;0H;65;1L;;;
