SourceRow;WorkerID;Prefix_ASC;W01;W02;W03;W04;W05;W06;W07;W08;W09;W10;W01_B36;W02_B36;W03_B36;W04_B36;W05_B36;W06_B36;W07_B36;W08_B36;W09_B36;W10_B36;W01_ASC;W02_ASC;W03_ASC;W04_ASC;W05_ASC;W06_ASC;W07_ASC;W08_ASC;W09_ASC;W10_ASC;A01;A02;A03;A04;A05;A06;A07;A08;A09;A10;A11;A01_B36;A02_B36;A03_B36;A04_B36;A05_B36;A06_B36;A07_B36;A08_B36;A09_B36;A10_B36;A11_B36;C01;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C01_B36;C02_B36;C03_B36;C04_B36;C05_B36;C06_B36;C07_B36;C08_B36;C09_B36;C10_B36;C11_B36;D01;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;K01_ASC;K02_ASC;K03_ASC;K04_ASC;K05_ASC;K06_ASC;K07_ASC;K08_ASC;K09_ASC;K10_ASC;K11_ASC;PREV01_ASC;PREV02_ASC;PREV03_ASC;PREV04_ASC;PREV05_ASC;PREV06_ASC;PREV07_ASC;PREV08_ASC;PREV09_ASC;PREV10_ASC;PREV11_ASC;CUM01;CUM02;CUM03;CUM04;CUM05;CUM06;CUM07;CUM08;CUM09;CUM10;CUM11
12;M100000101;31;M;1;0;0;0;0;0;1;0;1;22;1;0;0;0;0;0;1;0;1;77;49;48;48;48;48;48;49;48;49;0Y;28;1G;1F;1G;1F;1G;1F;1G;1F;1G;34;80;52;51;52;51;52;51;52;51;52;0Y;28;1G;1F;1F;1F;1F;1F;1G;1F;1G;34;80;52;51;51;51;51;51;52;51;52;0;0;0;0;1;0;1;0;0;0;0;31;77;49;48;48;48;48;48;49;48;49;;31;77;49;48;48;48;48;48;49;48;31;108;157;205;253;301;349;397;446;494;543
13;VJ5SJ00101;31;V;J;5;S;J;0;0;1;0;1;31;19;5;28;19;0;0;1;0;1;86;74;53;83;74;48;48;49;48;49;0Y;2H;25;1K;2E;25;1F;1G;1H;1F;1G;34;89;77;56;86;77;51;52;53;51;52;0Y;2H;25;1K;2E;25;1F;1F;1G;1F;1G;34;89;77;56;86;77;51;51;52;51;52;0;0;0;0;0;0;0;1;1;0;0;31;86;74;53;83;74;48;48;49;48;49;;31;86;74;53;83;74;48;48;49;48;31;117;191;244;327;401;449;497;546;594;643
14;1E90000101;32;1;E;9;0;0;0;0;1;0;1;1;14;9;0;0;0;0;1;0;1;49;69;57;48;48;48;48;49;48;49;10;1H;21;1P;1G;1H;1G;1H;1I;1G;1H;36;53;73;61;52;53;52;53;54;52;53;10;1H;21;1P;1G;1G;1G;1G;1H;1G;1H;36;53;73;61;52;52;52;52;53;52;53;0;0;0;0;0;1;0;1;1;0;0;32;49;69;57;48;48;48;48;49;48;49;;32;49;69;57;48;48;48;48;49;48;32;81;150;207;255;303;351;399;448;496;545
15;1L20000101;32;1;L;2;0;0;0;0;1;0;1;1;21;2;0;0;0;0;1;0;1;49;76;50;48;48;48;48;49;48;49;10;1H;28;1I;1G;1H;1G;1H;1I;1G;1H;36;53;80;54;52;53;52;53;54;52;53;10;1H;28;1I;1G;1G;1G;1G;1H;1G;1H;36;53;80;54;52;52;52;52;53;52;53;0;0;0;0;0;1;0;1;1;0;0;32;49;76;50;48;48;48;48;49;48;49;;32;49;76;50;48;48;48;48;49;48;32;81;157;207;255;303;351;399;448;496;545
16;2H50000101;32;2;H;5;0;0;0;0;1;0;1;2;17;5;0;0;0;0;1;0;1;50;72;53;48;48;48;48;49;48;49;10;1I;24;1L;1G;1H;1G;1H;1I;1G;1H;36;54;76;57;52;53;52;53;54;52;53;10;1I;24;1L;1G;1G;1G;1G;1H;1G;1H;36;54;76;57;52;52;52;52;53;52;53;0;0;0;0;0;1;0;1;1;0;0;32;50;72;53;48;48;48;48;49;48;49;;32;50;72;53;48;48;48;48;49;48;32;82;154;207;255;303;351;399;448;496;545
17;38D0000101;32;3;8;D;0;0;0;0;1;0;1;3;8;13;0;0;0;0;1;0;1;51;56;68;48;48;48;48;49;48;49;10;1J;1O;20;1G;1H;1G;1H;1I;1G;1H;36;55;60;72;52;53;52;53;54;52;53;10;1J;1O;20;1G;1G;1G;1G;1H;1G;1H;36;55;60;72;52;52;52;52;53;52;53;0;0;0;0;0;1;0;1;1;0;0;32;51;56;68;48;48;48;48;49;48;49;;32;51;56;68;48;48;48;48;49;48;32;83;139;207;255;303;351;399;448;496;545
18;3F60000101;32;3;F;6;0;0;0;0;1;0;1;3;15;6;0;0;0;0;1;0;1;51;70;54;48;48;48;48;49;48;49;10;1J;22;1M;1G;1H;1G;1H;1I;1G;1H;36;55;74;58;52;53;52;53;54;52;53;10;1J;22;1M;1G;1G;1G;1G;1H;1G;1H;36;55;74;58;52;52;52;52;53;52;53;0;0;0;0;0;1;0;1;1;0;0;32;51;70;54;48;48;48;48;49;48;49;;32;51;70;54;48;48;48;48;49;48;32;83;153;207;255;303;351;399;448;496;545
19;4J10000101;32;4;J;1;0;0;0;0;1;0;1;4;19;1;0;0;0;0;1;0;1;52;74;49;48;48;48;48;49;48;49;10;1K;26;1H;1G;1H;1G;1H;1I;1G;1H;36;56;78;53;52;53;52;53;54;52;53;10;1K;26;1H;1G;1G;1G;1G;1H;1G;1H;36;56;78;53;52;52;52;52;53;52;53;0;0;0;0;0;1;0;1;1;0;0;32;52;74;49;48;48;48;48;49;48;49;;32;52;74;49;48;48;48;48;49;48;32;84;158;207;255;303;351;399;448;496;545
20;FBPQJ00101;32;F;B;P;Q;J;0;0;1;0;1;15;11;25;26;19;0;0;1;0;1;70;66;80;81;74;48;48;49;48;49;10;22;1Y;2C;2D;26;1G;1H;1I;1G;1H;36;74;70;84;85;78;52;53;54;52;53;10;22;1Y;2C;2D;26;1G;1G;1H;1G;1H;36;74;70;84;85;78;52;52;53;52;53;0;0;0;0;0;0;0;1;1;0;0;32;70;66;80;81;74;48;48;49;48;49;;32;70;66;80;81;74;48;48;49;48;32;102;168;248;329;403;451;499;548;596;645
21;H700000101;32;H;7;0;0;0;0;0;1;0;1;17;7;0;0;0;0;0;1;0;1;72;55;48;48;48;48;48;49;48;49;10;24;1N;1G;1H;1G;1H;1G;1H;1G;1H;36;76;59;52;53;52;53;52;53;52;53;10;24;1N;1G;1G;1G;1G;1G;1H;1G;1H;36;76;59;52;52;52;52;52;53;52;53;0;0;0;0;1;0;1;0;0;0;0;32;72;55;48;48;48;48;48;49;48;49;;32;72;55;48;48;48;48;48;49;48;32;104;159;207;255;303;351;399;448;496;545
