SourceRow;WorkerID;PrefixActual_ASC;PrefixCalc_ASC;PrefixActual_RAW;PrefixCalc_RAW;Prefix_OK;Block1Actual;Block1Calc;Block1_OK;Block1_FirstDiff;Block2Actual;Block2Calc;Block2_OK;Block2_FirstDiff;ALL_OK;Status
39;O5QVJ00101;34;34;03;03;PRAVDA;031C0M1E1J170H0H0I0H0I;031C0M1E1J170H0H0I0H0I;PRAVDA;;142D1N2F2K281I1J1K1I1J;142D1N2F2K281I1I1J1I1J;NEPRAVDA;P19;NEPRAVDA;BLOCK2
40;1I80000101;35;35;04;04;PRAVDA;040I160P0H0H0H0H0I0H0I;040I160P0H0H0H0H0I0H0I;PRAVDA;;161K281R1J1K1J1K1L1J1K;161K281R1J1J1J1J1K1J1K;NEPRAVDA;P17;NEPRAVDA;BLOCK2
41;1J70000101;35;35;04;04;PRAVDA;040I170O0H0H0H0H0I0H0I;040I170O0H0H0H0H0I0H0I;PRAVDA;;161K291Q1J1K1J1K1L1J1K;161K291Q1J1J1J1J1K1J1K;NEPRAVDA;P17;NEPRAVDA;BLOCK2
42;1K60000101;35;35;04;04;PRAVDA;040I180N0H0H0H0H0I0H0I;040I180N0H0H0H0H0I0H0I;PRAVDA;;161K2A1P1J1K1J1K1L1J1K;161K2A1P1J1J1J1J1K1J1K;NEPRAVDA;P17;NEPRAVDA;BLOCK2
43;1L50000101;35;35;04;04;PRAVDA;040I190M0H0H0H0H0I0H0I;040I190M0H0H0H0H0I0H0I;PRAVDA;;161K2B1O1J1K1J1K1L1J1K;161K2B1O1J1J1J1J1K1J1K;NEPRAVDA;P17;NEPRAVDA;BLOCK2
44;1M40000101;35;35;04;04;PRAVDA;040I1A0L0H0H0H0H0I0H0I;040I1A0L0H0H0H0H0I0H0I;PRAVDA;;161K2C1N1J1K1J1K1L1J1K;161K2C1N1J1J1J1J1K1J1K;NEPRAVDA;P17;NEPRAVDA;BLOCK2
45;3ZSLJ00101;35;35;04;04;PRAVDA;040K1N1G19170H0H0I0H0I;040K1N1G19170H0H0I0H0I;PRAVDA;;161M2P2I2B291J1K1L1J1K;161M2P2I2B291J1J1K1J1K;NEPRAVDA;P19;NEPRAVDA;BLOCK2
46;5LSXJ00101;35;35;04;04;PRAVDA;040M191G1L170H0H0I0H0I;040M191G1L170H0H0I0H0I;PRAVDA;;161O2B2I2N291J1K1L1J1K;161O2B2I2N291J1J1K1J1K;NEPRAVDA;P19;NEPRAVDA;BLOCK2
47;S5QSJ00101;35;35;04;04;PRAVDA;041G0M1E1G170H0H0I0H0I;041G0M1E1G170H0H0I0H0I;PRAVDA;;162I1O2G2I291J1K1L1J1K;162I1O2G2I291J1J1K1J1K;NEPRAVDA;P19;NEPRAVDA;BLOCK2
48;W6KTJ00101;35;35;04;04;PRAVDA;041K0N181H170H0H0I0H0I;041K0N181H170H0H0I0H0I;PRAVDA;;162M1P2A2J291J1K1L1J1K;162M1P2A2J291J1J1K1J1K;NEPRAVDA;P19;NEPRAVDA;BLOCK2
49;YBAPJ00101;35;35;04;04;PRAVDA;041M0Z0Y1D170H0H0I0H0I;041M0Z0Y1D170H0H0I0H0I;PRAVDA;;162O21202F291J1K1L1J1K;162O21202F291J1J1K1J1K;NEPRAVDA;P19;NEPRAVDA;BLOCK2
50;1AA0000101;36;36;05;05;PRAVDA;050I0Y0Y0H0H0H0H0I0H0I;050I0Y0Y0H0H0H0H0I0H0I;PRAVDA;;181L21221K1L1K1L1M1K1L;181L21211K1K1K1K1L1K1L;NEPRAVDA;P15;NEPRAVDA;BLOCK2
51;1I90000101;36;36;05;05;PRAVDA;050I160Q0H0H0H0H0I0H0I;050I160Q0H0H0H0H0I0H0I;PRAVDA;;181L291T1K1L1K1L1M1K1L;181L291T1K1K1K1K1L1K1L;NEPRAVDA;P17;NEPRAVDA;BLOCK2
52;1K70000101;36;36;05;05;PRAVDA;050I180O0H0H0H0H0I0H0I;050I180O0H0H0H0H0I0H0I;PRAVDA;;181L2B1R1K1L1K1L1M1K1L;181L2B1R1K1K1K1K1L1K1L;NEPRAVDA;P17;NEPRAVDA;BLOCK2
53;1P20000101;36;36;05;05;PRAVDA;050I1D0J0H0H0H0H0I0H0I;050I1D0J0H0H0H0H0I0H0I;PRAVDA;;181L2G1M1K1L1K1L1M1K1L;181L2G1M1K1K1K1K1L1K1L;NEPRAVDA;P17;NEPRAVDA;BLOCK2
54;2I80000101;36;36;05;05;PRAVDA;050J160P0H0H0H0H0I0H0I;050J160P0H0H0H0H0I0H0I;PRAVDA;;181M291S1K1L1K1L1M1K1L;181M291S1K1K1K1K1L1K1L;NEPRAVDA;P17;NEPRAVDA;BLOCK2
