SourceRow;WorkerID;RawPrefix;PrefixASCII;n;X;Parity;Const;Y;Trailing;Mode;ActualTail;CalcTail;Result;FirstDiffPos;ActualAtDiff;CalcAtDiff;ActualLen;CalcLen;;SOUHRN V2;;;
69;2J80000101;37;37;3;76;0I0H0I;221;80;;NORMAL;0J170P240I0H0I6528;0J170P240I0H0I6528;OK;;;;18;18;;;;;
70;3L50000101;37;37;3;76;0I0H0I;221;80;;NORMAL;0K190M240I0H0I6528;0K190M240I0H0I6528;OK;;;;18;18;;;;;
71;L800000101;37;37;2;27;0I0H0I;222;32;0;NORMAL;190P0R0I0H0I660W0;190P0R0I0H0I660W0;OK;;;;17;17;;;;;
72;M700000101;37;37;2;27;0I0H0I;222;32;0;NORMAL;1A0O0R0I0H0I660W0;1A0O0R0I0H0I660W0;OK;;;;17;17;;;;;
73;S100000101;37;37;2;27;0I0H0I;222;32;0;NORMAL;1G0I0R0I0H0I660W0;1G0I0R0I0H0I660W0;OK;;;;17;17;;;;;
74;Z5RMJ00101;137;37;5;18;0I0H0I;219;20;0;NORMAL;1N0M1F1A170I0I0H0I630K0;1N0M1F1A170I0I0H0I630K0;OK;;;;23;23;;;;;
75;1AC0000101;38;38;3;77;0I0I0H;221;81;;NORMAL;0I0Y10250I0I0H6529;0I0Y10250I0I0H6529;OK;;;;18;18;;;;;
76;1BB0000101;38;38;3;77;0I0I0H;221;81;;NORMAL;0I0Z0Z250I0I0H6529;0I0Z0Z250I0I0H6529;OK;;;;18;18;;;;;
77;1CA0000101;38;38;3;77;0I0I0H;221;81;;NORMAL;0I100Y250I0I0H6529;0I100Y250I0I0H6529;OK;;;;18;18;;;;;
78;1L80000101;38;38;3;77;0I0I0H;221;81;;NORMAL;0I190P250I0I0H6529;0I190P250I0I0H6529;OK;;;;18;18;;;;;
79;1O50000101;38;38;3;77;0I0I0H;221;81;;NORMAL;0I1C0M250I0I0H6529;0I1C0M250I0I0H6529;OK;;;;18;18;;;;;
80;3L60000101;38;38;3;77;0I0I0H;221;81;;NORMAL;0K190N250I0I0H6529;0K190N250I0I0H6529;OK;;;;18;18;;;;;
81;4YPRJ00101;138;38;5;19;0I0I0H;219;21;0;NORMAL;0L1M1D1F170J0I0I0H630L0;0L1M1D1F170J0I0I0H630L0;OK;;;;23;23;;;;;
82;7XNRJ00101;138;38;5;19;0I0I0H;219;21;0;NORMAL;0O1L1B1F170J0I0I0H630L0;0O1L1B1F170J0I0I0H630L0;OK;;;;23;23;;;;;
83;L900000101;38;38;2;28;0I0I0H;222;33;0;NORMAL;190Q0S0I0I0H660X0;190Q0S0I0I0H660X0;OK;;;;17;17;;;;;
84;MGLOJ00101;138;38;5;19;0I0I0H;219;21;0;NORMAL;1A14191C170J0I0I0H630L0;1A14191C170J0I0I0H630L0;OK;;;;23;23;;;;;
85;R300000101;38;38;2;28;0I0I0H;222;33;0;NORMAL;1F0K0S0I0I0H660X0;1F0K0S0I0I0H660X0;OK;;;;17;17;;;;;
86;S200000101;38;38;2;28;0I0I0H;222;33;0;NORMAL;1G0J0S0I0I0H660X0;1G0J0S0I0I0H660X0;OK;;;;17;17;;;;;
87;T100000101;38;38;2;28;0I0I0H;222;33;0;NORMAL;1H0I0S0I0I0H660X0;1H0I0S0I0I0H660X0;OK;;;;17;17;;;;;
88;UI8YJ00101;138;38;5;19;0I0I0H;219;21;0;NORMAL;1I160P1M170J0I0I0H630L0;1I160P1M170J0I0I0H630L0;OK;;;;23;23;;;;;
