SourceRow;WorkerID;RawPrefix;PrefixASCII;n;X;Parity;Const;Y;Trailing;ActualTail;CalcTail;Result;FirstDiffPos;ActualAtDiff;CalcAtDiff;ActualLen;CalcLen;ActualPairs;CalcPairs;;SOUHRN V1;;;
54;2I80000101;36;36;3;75;0I0I0H;221;79;;0J160P230I0I0H6527;0J160P230I0I0H6527;OK;;;;18;18;9;9;;;;;
55;GUDMJ00101;136;36;5;17;0I0I0H;219;19;0;141I111A170H0I0I0H630J0;141I111A170H0I0I0H630J0;OK;;;;23;23;11;11;;;;;
56;IFMQJ00101;136;36;5;17;0I0I0H;219;19;0;16131A1E170H0I0I0H630J0;16131A1E170H0I0I0H630J0;OK;;;;23;23;11;11;;;;;
57;J900000101;36;36;2;26;0I0I0H;222;31;0;170Q0Q0I0I0H660V0;170Q0Q0I0I0H660V0;OK;;;;17;17;8;8;;;;;
58;K800000101;36;36;2;26;0I0I0H;222;31;0;180P0Q0I0I0H660V0;180P0Q0I0I0H660V0;OK;;;;17;17;8;8;;;;;
59;KGLOJ00101;136;36;5;17;0I0I0H;219;19;0;1814191C170H0I0I0H630J0;1814191C170H0I0I0H630J0;OK;;;;23;23;11;11;;;;;
60;L610000101;36;36;3;75;0I0I0H;221;79;;190N0I230I0I0H6527;190N0I230I0I0H6527;OK;;;;18;18;9;9;;;;;
61;L700000101;36;36;2;26;0I0I0H;222;31;0;190O0Q0I0I0H660V0;190O0Q0I0I0H660V0;OK;;;;17;17;8;8;;;;;
62;SI8YJ00101;136;36;5;17;0I0I0H;219;19;0;1G160P1M170H0I0I0H630J0;1G160P1M170H0I0I0H630J0;OK;;;;23;23;11;11;;;;;
63;1AB0000101;37;37;3;76;0I0H0I;221;80;;0I0Y0Z240I0H0I6528;0I0Y0Z240I0H0I6528;OK;;;;18;18;9;9;;;;;
64;1BA0000101;37;37;3;76;0I0H0I;221;80;;0I0Z0Y240I0H0I6528;0I0Z0Y240I0H0I6528;OK;;;;18;18;9;9;;;;;
65;1J90000101;37;37;3;76;0I0H0I;221;80;;0I170Q240I0H0I6528;0I170Q240I0H0I6528;OK;;;;18;18;9;9;;;;;
66;1K80000101;37;37;3;76;0I0H0I;221;80;;0I180P240I0H0I6528;0I180P240I0H0I6528;OK;;;;18;18;9;9;;;;;
67;1O40000101;37;37;3;76;0I0H0I;221;80;;0I1C0L240I0H0I6528;0I1C0L240I0H0I6528;OK;;;;18;18;9;9;;;;;
68;2I90000101;37;37;3;76;0I0H0I;221;80;;0J160Q240I0H0I6528;0J160Q240I0H0I6528;OK;;;;18;18;9;9;;;;;
69;2J80000101;37;37;3;76;0I0H0I;221;80;;0J170P240I0H0I6528;0J170P240I0H0I6528;OK;;;;18;18;9;9;;;;;
70;3L50000101;37;37;3;76;0I0H0I;221;80;;0K190M240I0H0I6528;0K190M240I0H0I6528;OK;;;;18;18;9;9;;;;;
71;L800000101;37;37;2;27;0I0H0I;222;32;0;190P0R0I0H0I660W0;190P0R0I0H0I660W0;OK;;;;17;17;8;8;;;;;
72;M700000101;37;37;2;27;0I0H0I;222;32;0;1A0O0R0I0H0I660W0;1A0O0R0I0H0I660W0;OK;;;;17;17;8;8;;;;;
73;S100000101;37;37;2;27;0I0H0I;222;32;0;1G0I0R0I0H0I660W0;1G0I0R0I0H0I660W0;OK;;;;17;17;8;8;;;;;
74;Z5RMJ00101;137;37;5;18;0I0H0I;219;20;0;1N0M1F1A170I0I0H0I630K0;1N0M1F1A170I0I0H0I630K0;OK;;;;23;23;11;11;;;;;
75;1AC0000101;38;38;3;77;0I0I0H;221;81;;0I0Y10250I0I0H6529;0I0Y10250I0I0H6529;OK;;;;18;18;9;9;;;;;
76;1BB0000101;38;38;3;77;0I0I0H;221;81;;0I0Z0Z250I0I0H6529;0I0Z0Z250I0I0H6529;OK;;;;18;18;9;9;;;;;
77;1CA0000101;38;38;3;77;0I0I0H;221;81;;0I100Y250I0I0H6529;0I100Y250I0I0H6529;OK;;;;18;18;9;9;;;;;
78;1L80000101;38;38;3;77;0I0I0H;221;81;;0I190P250I0I0H6529;0I190P250I0I0H6529;OK;;;;18;18;9;9;;;;;
79;1O50000101;38;38;3;77;0I0I0H;221;81;;0I1C0M250I0I0H6529;0I1C0M250I0I0H6529;OK;;;;18;18;9;9;;;;;
80;3L60000101;38;38;3;77;0I0I0H;221;81;;0K190N250I0I0H6529;0K190N250I0I0H6529;OK;;;;18;18;9;9;;;;;
81;4YPRJ00101;138;38;5;19;0I0I0H;219;21;0;0L1M1D1F170J0I0I0H630L0;0L1M1D1F170J0I0I0H630L0;OK;;;;23;23;11;11;;;;;
82;7XNRJ00101;138;38;5;19;0I0I0H;219;21;0;0O1L1B1F170J0I0I0H630L0;0O1L1B1F170J0I0I0H630L0;OK;;;;23;23;11;11;;;;;
83;L900000101;38;38;2;28;0I0I0H;222;33;0;190Q0S0I0I0H660X0;190Q0S0I0I0H660X0;OK;;;;17;17;8;8;;;;;
84;MGLOJ00101;138;38;5;19;0I0I0H;219;21;0;1A14191C170J0I0I0H630L0;1A14191C170J0I0I0H630L0;OK;;;;23;23;11;11;;;;;
85;R300000101;38;38;2;28;0I0I0H;222;33;0;1F0K0S0I0I0H660X0;1F0K0S0I0I0H660X0;OK;;;;17;17;8;8;;;;;
86;S200000101;38;38;2;28;0I0I0H;222;33;0;1G0J0S0I0I0H660X0;1G0J0S0I0I0H660X0;OK;;;;17;17;8;8;;;;;
87;T100000101;38;38;2;28;0I0I0H;222;33;0;1H0I0S0I0I0H660X0;1H0I0S0I0I0H660X0;OK;;;;17;17;8;8;;;;;
88;UI8YJ00101;138;38;5;19;0I0I0H;219;21;0;1I160P1M170J0I0I0H630L0;1I160P1M170J0I0I0H630L0;OK;;;;23;23;11;11;;;;;
89;W7SNJ00101;138;38;5;19;0I0I0H;219;21;0;1K0O1G1B170J0I0I0H630L0;1K0O1G1B170J0I0I0H630L0;OK;;;;23;23;11;11;;;;;
90;Z6KTJ00101;138;38;5;19;0I0I0H;219;21;0;1N0N181H170J0I0I0H630L0;1N0N181H170J0I0I0H630L0;OK;;;;23;23;11;11;;;;;
91;1AD0000101;39;39;3;78;0I0H0I;221;82;;0I0Y11260I0H0I652A;0I0Y11260I0H0I652A;OK;;;;18;18;9;9;;;;;
92;1BC0000101;39;39;3;78;0I0H0I;221;82;;0I0Z10260I0H0I652A;0I0Z10260I0H0I652A;OK;;;;18;18;9;9;;;;;
93;1CB0000101;39;39;3;78;0I0H0I;221;82;;0I100Z260I0H0I652A;0I100Z260I0H0I652A;OK;;;;18;18;9;9;;;;;
94;1DA0000101;39;39;3;78;0I0H0I;221;82;;0I110Y260I0H0I652A;0I110Y260I0H0I652A;OK;;;;18;18;9;9;;;;;
95;1L90000101;39;39;3;78;0I0H0I;221;82;;0I190Q260I0H0I652A;0I190Q260I0H0I652A;OK;;;;18;18;9;9;;;;;
96;1N70000101;39;39;3;78;0I0H0I;221;82;;0I1B0O260I0H0I652A;0I1B0O260I0H0I652A;OK;;;;18;18;9;9;;;;;
97;1S20000101;39;39;3;78;0I0H0I;221;82;;0I1G0J260I0H0I652A;0I1G0J260I0H0I652A;OK;;;;18;18;9;9;;;;;
98;1T10000101;39;39;3;78;0I0H0I;221;82;;0I1H0I260I0H0I652A;0I1H0I260I0H0I652A;OK;;;;18;18;9;9;;;;;
99;2T00000101;39;39;2;29;0I0H0I;222;34;0;0J1H0T0I0H0I660Y0;0J1H0T0I0H0I660Y0;OK;;;;17;17;8;8;;;;;
100;3M60000101;39;39;3;78;0I0H0I;221;82;;0K1A0N260I0H0I652A;0K1A0N260I0H0I652A;OK;;;;18;18;9;9;;;;;
101;BXDRJ00101;139;39;5;20;0I0H0I;219;22;0;0Z1L111F170K0I0H0I630M0;0Z1L111F170K0I0H0I630M0;OK;;;;23;23;11;11;;;;;
102;N800000101;39;39;2;29;0I0H0I;222;34;0;1B0P0T0I0H0I660Y0;1B0P0T0I0H0I660Y0;OK;;;;17;17;8;8;;;;;
103;NGLOJ00101;139;39;5;20;0I0H0I;219;22;0;1B14191C170K0I0H0I630M0;1B14191C170K0I0H0I630M0;OK;;;;23;23;11;11;;;;;
104;R3YRJ00101;139;39;5;20;0I0H0I;219;22;0;1F0K1M1F170K0I0H0I630M0;1F0K1M1F170K0I0H0I630M0;OK;;;;23;23;11;11;;;;;
105;U100000101;39;39;2;29;0I0H0I;222;34;0;1I0I0T0I0H0I660Y0;1I0I0T0I0H0I660Y0;OK;;;;17;17;8;8;;;;;
106;VI8YJ00101;139;39;5;20;0I0H0I;219;22;0;1J160P1M170K0I0H0I630M0;1J160P1M170K0I0H0I630M0;OK;;;;23;23;11;11;;;;;
107;1BD0000101;40;40;3;79;0I0I0H;221;83;;0I0Z11270I0I0H652B;0I0Z11270I0I0H652B;OK;;;;18;18;9;9;;;;;
108;1CC0000101;40;40;3;79;0I0I0H;221;83;;0I1010270I0I0H652B;0I1010270I0I0H652B;OK;;;;18;18;9;9;;;;;
109;1DB0000101;40;40;3;79;0I0I0H;221;83;;0I110Z270I0I0H652B;0I110Z270I0I0H652B;OK;;;;18;18;9;9;;;;;
110;1EA0000101;40;40;3;79;0I0I0H;221;83;;0I120Y270I0I0H652B;0I120Y270I0I0H652B;OK;;;;18;18;9;9;;;;;
111;1O70000101;40;40;3;79;0I0I0H;221;83;;0I1C0O270I0I0H652B;0I1C0O270I0I0H652B;OK;;;;18;18;9;9;;;;;
112;1P60000101;40;40;3;79;0I0I0H;221;83;;0I1D0N270I0I0H652B;0I1D0N270I0I0H652B;OK;;;;18;18;9;9;;;;;
113;1Q50000101;40;40;3;79;0I0I0H;221;83;;0I1E0M270I0I0H652B;0I1E0M270I0I0H652B;OK;;;;18;18;9;9;;;;;
114;1S30000101;40;40;3;79;0I0I0H;221;83;;0I1G0K270I0I0H652B;0I1G0K270I0I0H652B;OK;;;;18;18;9;9;;;;;
115;3O50000101;40;40;3;79;0I0I0H;221;83;;0K1C0M270I0I0H652B;0K1C0M270I0I0H652B;OK;;;;18;18;9;9;;;;;
116;6YPRJ00101;140;40;5;21;0I0I0H;219;23;0;0N1M1D1F170L0I0I0H630N0;0N1M1D1F170L0I0I0H630N0;OK;;;;23;23;11;11;;;;;
117;8YNRJ00101;140;40;5;21;0I0I0H;219;23;0;0P1M1B1F170L0I0I0H630N0;0P1M1B1F170L0I0I0H630N0;OK;;;;23;23;11;11;;;;;
118;CXDRJ00101;140;40;5;21;0I0I0H;219;23;0;101L111F170L0I0I0H630N0;101L111F170L0I0I0H630N0;OK;;;;23;23;11;11;;;;;
119;N900000101;40;40;2;30;0I0I0H;222;35;0;1B0Q0U0I0I0H660Z0;1B0Q0U0I0I0H660Z0;OK;;;;17;17;8;8;;;;;
120;OGLOJ00101;140;40;5;21;0I0I0H;219;23;0;1C14191C170L0I0I0H630N0;1C14191C170L0I0I0H630N0;OK;;;;23;23;11;11;;;;;
121;PDQLJ00101;140;40;5;21;0I0I0H;219;23;0;1D111E19170L0I0I0H630N0;1D111E19170L0I0I0H630N0;OK;;;;23;23;11;11;;;;;
122;S3YRJ00101;140;40;5;21;0I0I0H;219;23;0;1G0K1M1F170L0I0I0H630N0;1G0K1M1F170L0I0I0H630N0;OK;;;;23;23;11;11;;;;;
123;SFLLJ00101;140;40;5;21;0I0I0H;219;23;0;1G131919170L0I0I0H630N0;1G131919170L0I0I0H630N0;OK;;;;23;23;11;11;;;;;
124;T300000101;40;40;2;30;0I0I0H;222;35;0;1H0K0U0I0I0H660Z0;1H0K0U0I0I0H660Z0;OK;;;;17;17;8;8;;;;;
125;V100000101;40;40;2;30;0I0I0H;222;35;0;1J0I0U0I0I0H660Z0;1J0I0U0I0I0H660Z0;OK;;;;17;17;8;8;;;;;
126;WI8YJ00101;140;40;5;21;0I0I0H;219;23;0;1K160P1M170L0I0I0H630N0;1K160P1M170L0I0I0H630N0;OK;;;;23;23;11;11;;;;;
127;1DC0000101;41;41;3;80;0I0H0I;221;84;;0I1110280I0H0I652C;0I1110280I0H0I652C;OK;;;;18;18;9;9;;;;;
128;1EB0000101;41;41;3;80;0I0H0I;221;84;;0I120Z280I0H0I652C;0I120Z280I0H0I652C;OK;;;;18;18;9;9;;;;;
129;1FA0000101;41;41;3;80;0I0H0I;221;84;;0I130Y280I0H0I652C;0I130Y280I0H0I652C;OK;;;;18;18;9;9;;;;;
130;1N90000101;41;41;3;80;0I0H0I;221;84;;0I1B0Q280I0H0I652C;0I1B0Q280I0H0I652C;OK;;;;18;18;9;9;;;;;
131;1P70000101;41;41;3;80;0I0H0I;221;84;;0I1D0O280I0H0I652C;0I1D0O280I0H0I652C;OK;;;;18;18;9;9;;;;;
132;1Q60000101;41;41;3;80;0I0H0I;221;84;;0I1E0N280I0H0I652C;0I1E0N280I0H0I652C;OK;;;;18;18;9;9;;;;;
133;1R50000101;41;41;3;80;0I0H0I;221;84;;0I1F0M280I0H0I652C;0I1F0M280I0H0I652C;OK;;;;18;18;9;9;;;;;
134;1U20000101;41;41;3;80;0I0H0I;221;84;;0I1I0J280I0H0I652C;0I1I0J280I0H0I652C;OK;;;;18;18;9;9;;;;;
135;1W00000101;41;41;2;31;0I0H0I;222;36;0;0I1K0V0I0H0I66100;0I1K0V0I0H0I66100;OK;;;;17;17;8;8;;;;;
136;2BD0000101;41;41;3;80;0I0H0I;221;84;;0J0Z11280I0H0I652C;0J0Z11280I0H0I652C;OK;;;;18;18;9;9;;;;;
137;2N80000101;41;41;3;80;0I0H0I;221;84;;0J1B0P280I0H0I652C;0J1B0P280I0H0I652C;OK;;;;18;18;9;9;;;;;
138;2P60000101;41;41;3;80;0I0H0I;221;84;;0J1D0N280I0H0I652C;0J1D0N280I0H0I652C;OK;;;;18;18;9;9;;;;;
139;2T20000101;41;41;3;80;0I0H0I;221;84;;0J1H0J280I0H0I652C;0J1H0J280I0H0I652C;OK;;;;18;18;9;9;;;;;
140;4S10000101;41;41;3;80;0I0H0I;221;84;;0L1G0I280I0H0I652C;0L1G0I280I0H0I652C;OK;;;;18;18;9;9;;;;;
141;6L60000101;41;41;3;80;0I0H0I;221;84;;0N190N280I0H0I652C;0N190N280I0H0I652C;OK;;;;18;18;9;9;;;;;
142;6UOXJ00101;141;41;5;22;0I0H0I;219;24;0;0N1I1C1L170M0I0H0I630O0;0N1I1C1L170M0I0H0I630O0;OK;;;;23;23;11;11;;;;;
143;9UQSJ00101;141;41;5;22;0I0H0I;219;24;0;0Q1I1E1G170M0I0H0I630O0;0Q1I1E1G170M0I0H0I630O0;OK;;;;23;23;11;11;;;;;
144;IWEMJ00101;141;41;5;22;0I0H0I;219;24;0;161K121A170M0I0H0I630O0;161K121A170M0I0H0I630O0;OK;;;;23;23;11;11;;;;;
145;LHEYJ00101;141;41;5;22;0I0H0I;219;24;0;1915121M170M0I0H0I630O0;1915121M170M0I0H0I630O0;OK;;;;23;23;11;11;;;;;
146;OBPQJ00101;141;41;5;22;0I0H0I;219;24;0;1C0Z1D1E170M0I0H0I630O0;1C0Z1D1E170M0I0H0I630O0;OK;;;;23;23;11;11;;;;;
147;T3YRJ00101;141;41;5;22;0I0H0I;219;24;0;1H0K1M1F170M0I0H0I630O0;1H0K1M1F170M0I0H0I630O0;OK;;;;23;23;11;11;;;;;
148;V200000101;41;41;2;31;0I0H0I;222;36;0;1J0J0V0I0H0I66100;1J0J0V0I0H0I66100;OK;;;;17;17;8;8;;;;;
149;1DD0000101;42;42;3;81;0I0I0H;221;85;;0I1111290I0I0H652D;0I1111290I0I0H652D;OK;;;;18;18;9;9;;;;;
150;1EC0000101;42;42;3;81;0I0I0H;221;85;;0I1210290I0I0H652D;0I1210290I0I0H652D;OK;;;;18;18;9;9;;;;;
151;1GA0000101;42;42;3;81;0I0I0H;221;85;;0I140Y290I0I0H652D;0I140Y290I0I0H652D;OK;;;;18;18;9;9;;;;;
152;1O90000101;42;42;3;81;0I0I0H;221;85;;0I1C0Q290I0I0H652D;0I1C0Q290I0I0H652D;OK;;;;18;18;9;9;;;;;
153;1P80000101;42;42;3;81;0I0I0H;221;85;;0I1D0P290I0I0H652D;0I1D0P290I0I0H652D;OK;;;;18;18;9;9;;;;;
154;1Q70000101;42;42;3;81;0I0I0H;221;85;;0I1E0O290I0I0H652D;0I1E0O290I0I0H652D;OK;;;;18;18;9;9;;;;;
155;1R60000101;42;42;3;81;0I0I0H;221;85;;0I1F0N290I0I0H652D;0I1F0N290I0I0H652D;OK;;;;18;18;9;9;;;;;
156;1S50000101;42;42;3;81;0I0I0H;221;85;;0I1G0M290I0I0H652D;0I1G0M290I0I0H652D;OK;;;;18;18;9;9;;;;;
157;1U30000101;42;42;3;81;0I0I0H;221;85;;0I1I0K290I0I0H652D;0I1I0K290I0I0H652D;OK;;;;18;18;9;9;;;;;
158;2FA0000101;42;42;3;81;0I0I0H;221;85;;0J130Y290I0I0H652D;0J130Y290I0I0H652D;OK;;;;18;18;9;9;;;;;
159;2P70000101;42;42;3;81;0I0I0H;221;85;;0J1D0O290I0I0H652D;0J1D0O290I0I0H652D;OK;;;;18;18;9;9;;;;;
160;2V10000101;42;42;3;81;0I0I0H;221;85;;0J1J0I290I0I0H652D;0J1J0I290I0I0H652D;OK;;;;18;18;9;9;;;;;
161;5S10000101;42;42;3;81;0I0I0H;221;85;;0M1G0I290I0I0H652D;0M1G0I290I0I0H652D;OK;;;;18;18;9;9;;;;;
162;U3YRJ00101;142;42;5;23;0I0I0H;219;25;0;1I0K1M1F170N0I0I0H630P0;1I0K1M1F170N0I0I0H630P0;OK;;;;23;23;11;11;;;;;
163;U400000101;42;42;2;32;0I0I0H;222;37;0;1I0L0W0I0I0H66110;1I0L0W0I0I0H66110;OK;;;;17;17;8;8;;;;;
164;VBLOJ00101;142;42;5;23;0I0I0H;219;25;0;1J0Z191C170N0I0I0H630P0;1J0Z191C170N0I0I0H630P0;OK;;;;23;23;11;11;;;;;
165;W200000101;42;42;2;32;0I0I0H;222;37;0;1K0J0W0I0I0H66110;1K0J0W0I0I0H66110;OK;;;;17;17;8;8;;;;;
166;1HA0000101;43;43;3;82;0I0H0I;221;86;;0I150Y2A0I0H0I652E;0I150Y2A0I0H0I652E;OK;;;;18;18;9;9;;;;;
167;1P90000101;43;43;3;82;0I0H0I;221;86;;0I1D0Q2A0I0H0I652E;0I1D0Q2A0I0H0I652E;OK;;;;18;18;9;9;;;;;
168;1T50000101;43;43;3;82;0I0H0I;221;86;;0I1H0M2A0I0H0I652E;0I1H0M2A0I0H0I652E;OK;;;;18;18;9;9;;;;;
169;1U40000101;43;43;3;82;0I0H0I;221;86;;0I1I0L2A0I0H0I652E;0I1I0L2A0I0H0I652E;OK;;;;18;18;9;9;;;;;
170;2O90000101;43;43;3;82;0I0H0I;221;86;;0J1C0Q2A0I0H0I652E;0J1C0Q2A0I0H0I652E;OK;;;;18;18;9;9;;;;;
171;2P80000101;43;43;3;82;0I0H0I;221;86;;0J1D0P2A0I0H0I652E;0J1D0P2A0I0H0I652E;OK;;;;18;18;9;9;;;;;
172;2S50000101;43;43;3;82;0I0H0I;221;86;;0J1G0M2A0I0H0I652E;0J1G0M2A0I0H0I652E;OK;;;;18;18;9;9;;;;;
